"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-08-14",25.678570120114,1.42,6.8,3.02637290411243
"2020-08-15",25.3207014232423,1.44,7,3.09706106577858
"2020-08-16",25.6890079571061,1.45,7,3.11829163665061
"2020-08-17",28.9605242943415,1.47,7.1,3.32653365327798
"2020-08-18",31.978550304626,1.48,7.1,3.47285084359864
"2020-08-19",34.8832512275679,1.5,7.2,3.62335339079525
"2020-08-20",37.2258000725072,1.5,7.3,3.71304063299423
"2020-08-21",39.0792616983885,1.49,7.3,3.74806397222131
"2020-08-22",41.2667341080167,1.49,7.3,3.75770890417469
"2020-08-23",41.7349456530905,1.48,7.3,3.7948202039704
"2020-08-24",44.6500844130244,1.46,7.7,3.92019784273911
"2020-08-25",47.6934594560041,1.45,7.9,4.05148303152519
"2020-08-26",50.3923858782447,1.44,7.4,4.12311138439916
"2020-08-27",53.7667894658307,1.43,7.4,4.22314825876241
"2020-08-28",57.4215235326329,1.41,7.5,4.35764140353418
"2020-08-29",58.575650080044,1.4,7.8,4.38175953026842
"2020-08-30",59.0438616251178,1.39,7.8,4.39955912188813
"2020-08-31",62.7492937573101,1.37,8,4.54653985650125
"2020-09-01",65.8329290286878,1.36,8.3,4.69976836475738
"2020-09-02",69.4041603995532,1.35,8.7,4.90308648477826
"2020-09-03",72.9127647484661,1.35,9.1,5.12409944722433
"2020-09-04",76.5824100109712,1.34,9.2,5.31534608378871
"2020-09-05",78.1108075705274,1.33,9.4,5.38453631560553
"2020-09-06",78.3300021473613,1.31,9.5,5.40018483433272
"2020-09-07",82.4231253678312,1.3,10.5,5.5697294334345
"2020-09-08",86.540106501426,1.29,11.2,5.6300031430312
"2020-09-09",89.8265340343643,1.28,11.7,5.64915432888335
"2020-09-10",93.1069970890215,1.27,12,5.63671569977116
"2020-09-11",94.8247668340056,1.26,12.4,5.55641959430177
"2020-09-12",95.4793683253667,1.24,12.9,5.56118150789033
"2020-09-13",95.5912022931391,1.23,13.1,5.56644313600522
"2020-09-14",99.1057711203331,1.22,13.9,5.64995188564084
"2020-09-15",101.798733064293,1.21,14.9,5.71079630768201
"2020-09-16",104.891315053092,1.2,15.7,5.85065460561062
"2020-09-17",107.430691681311,1.19,15.7,6.04123133890329
"2020-09-18",110.330919245542,1.17,16.2,6.3024479991823
"2020-09-19",111.376194064321,1.16,16.4,6.40829192290797
"2020-09-20",111.734062761193,1.14,16.5,6.42898754149332
"2020-09-21",113.040283504775,1.12,18,6.69582567482465
"2020-09-22",114.042315856015,1.1,18.7,7.03902058757751
"2020-09-23",113.235620168484,1.08,19.7,7.29216279748644
"2020-09-24",111.584950804163,1.06,20.6,7.48690119947695
"2020-09-25",109.995417342225,1.04,21.6,7.66127022109225
"2020-09-26",109.394496155394,1.02,21.8,7.70315490834102
"2020-09-27",108.804012805556,1.01,22,7.70834873918509
"2020-09-28",105.921678676169,1.01,22.9,7.71417742770979
"2020-09-29",103.661141407596,1.01,23.7,7.76151097088387
"2020-09-30",104.063743691576,1.02,24.4,7.94401885009846
"2020-10-01",106.890906396863,1.03,24.9,8.28599004779601
"2020-10-02",112.649610177356,1.05,25.1,8.78612864659171
"2020-10-03",116.134356613144,1.07,25.5,9.03026979270172
"2020-10-04",116.941052300676,NA,26.4,9.08461170452452
"2020-10-05",127.013564998044,NA,27.9,9.79149112753883
"2020-10-06",NA,NA,28,NA
"2020-10-07",NA,NA,27.8,NA
"2020-10-08",NA,NA,28,NA
