Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200303,S92000003,Total,d,0 to 59,"",3,7,0.17252636017933867,0,0,0,1039,25.607841175190412
20200303,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,32,11.342691053452432
20200303,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,87,25.45683311143948
20200303,S92000003,Total,d,25 to 44,"",2,3,0.20959893244277078,0,0,0,374,26.130000244532088
20200303,S92000003,Total,d,45 to 64,"",1,4,0.2675674771731496,0,0,0,411,27.492558279541125
20200303,S92000003,Total,d,60+,"",0,1,0.0709900053171514,0,0,0,247,17.534531313336394
20200303,S92000003,Total,d,65 to 74,"",0,1,0.170571910558913,0,0,0,121,20.639201177628472
20200303,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,24,7.027694974612452
20200303,S92000003,Total,d,85plus,"",0,0,0,0,0,0,16,12.469702519659265
20200303,S92000003,Total,d,Total,d,3,8,0.14635931211123307,0,0,0,1286,23.527259421880718
20200304,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,110,26.2461555347177
20200304,S92000003,Female,"",0 to 59,"",3,3,0.14715685596434094,0,0,0,570,27.95980263322478
20200304,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,18,13.051706510626264
20200304,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,64,37.9927932420319
20200304,S92000003,Female,"",25 to 44,"",2,2,0.27667721729121936,0,0,0,206,28.497753380995594
20200304,S92000003,Female,"",45 to 64,"",1,1,0.1295051607806571,0,0,0,223,28.879650854086535
20200304,S92000003,Female,"",60+,"",0,1,0.13120828396621648,0,0,0,145,19.02520117510139
20200304,S92000003,Female,"",65 to 74,"",0,1,0.32698545568693105,0,0,0,64,20.927069163963587
20200304,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,16,8.332031453418736
20200304,S92000003,Female,"",85plus,"",0,0,0,0,0,0,14,16.985138004246284
20200304,S92000003,Female,"",Total,d,3,4,0.14281695008690412,0,0,0,715,25.52852982803411
20200304,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,150,34.038227198358904
20200304,S92000003,Male,"",0 to 59,"",3,10,0.49536585245032716,0,0,0,602,29.821024317509696
20200304,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,22,15.255847497000838
20200304,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,38,21.9270406573496
20200304,S92000003,Male,"",25 to 44,"",2,5,0.7057750751297567,0,0,0,210,29.642553155449786
20200304,S92000003,Male,"",45 to 64,"",1,5,0.6917734303660865,0,0,0,234,32.37499654113285
20200304,S92000003,Male,"",60+,"",0,0,0,0,0,0,150,23.20178437189676
20200304,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,72,25.674032499046138
20200304,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,21,14.049078112874307
20200304,S92000003,Male,"",85plus,"",0,0,0,0,0,0,5,10.896569759839602
20200304,S92000003,Male,"",Total,d,3,10,0.3752046741497487,0,0,0,752,28.215391496061102
20200304,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,260,30.23994231149467
20200304,S92000003,Total,d,0 to 59,"",6,13,0.3204060974759147,0,0,0,1174,28.93513526436337
20200304,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,40,14.17836381681554
20200304,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,103,30.138549545727205
20200304,S92000003,Total,d,25 to 44,"",4,7,0.48906417569979843,0,0,0,417,29.134251609545135
20200304,S92000003,Total,d,45 to 64,"",2,6,0.40135121575972443,0,0,0,457,30.569584267032344
20200304,S92000003,Total,d,60+,"",0,1,0.0709900053171514,0,0,0,295,20.942051568559663
20200304,S92000003,Total,d,65 to 74,"",0,1,0.170571910558913,0,0,0,136,23.197779836012167
20200304,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,37,10.834363085860863
20200304,S92000003,Total,d,85plus,"",0,0,0,0,0,0,19,14.807771742095376
20200304,S92000003,Total,d,Total,d,6,14,0.2561287961946579,0,0,0,1469,26.875228686425174
20200305,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,134,31.972589469565197
20200305,S92000003,Female,"",0 to 59,"",1,4,0.19620914128578792,0,0,0,638,31.295358035083176
20200305,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,22,15.952085735209879
20200305,S92000003,Female,"",20 to 24,"",1,1,0.5936373944067485,0,0,0,68,40.3673428196589
20200305,S92000003,Female,"",25 to 44,"",0,2,0.27667721729121936,0,0,0,229,31.67954137984462
20200305,S92000003,Female,"",45 to 64,"",0,1,0.1295051607806571,0,0,0,247,31.987774712822304
20200305,S92000003,Female,"",60+,"",0,1,0.13120828396621648,0,0,0,169,22.17419999029059
20200305,S92000003,Female,"",65 to 74,"",0,1,0.32698545568693105,0,0,0,73,23.869938265145965
20200305,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,20,10.41503931677342
20200305,S92000003,Female,"",85plus,"",0,0,0,0,0,0,14,16.985138004246284
20200305,S92000003,Female,"",Total,d,1,5,0.17852118760863014,0,0,0,807,28.813319680032905
20200305,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,174,39.48434355009633
20200305,S92000003,Male,"",0 to 59,"",1,11,0.54490243769536,0,0,0,678,33.58580479613219
20200305,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,24,16.642742724000914
20200305,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,39,22.504068043069324
20200305,S92000003,Male,"",25 to 44,"",0,5,0.7057750751297567,0,0,0,238,33.594893576176425
20200305,S92000003,Male,"",45 to 64,"",1,6,0.8301281164393038,0,0,0,260,35.9722183790365
20200305,S92000003,Male,"",60+,"",0,0,0,0,0,0,168,25.985998496524374
20200305,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,76,27.100367637882034
20200305,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,29,19.40110787015976
20200305,S92000003,Male,"",85plus,"",0,0,0,0,0,0,6,13.075883711807524
20200305,S92000003,Male,"",Total,d,1,11,0.41272514156472356,0,0,0,846,31.74231543306874
20200305,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,308,35.822700892078295
20200305,S92000003,Total,d,0 to 59,"",2,15,0.36969934324144005,0,0,0,1318,32.4842489594812
20200305,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,46,16.30511838933787
20200305,S92000003,Total,d,20 to 24,"",1,1,0.29260727714298257,0,0,0,108,31.601585931442116
20200305,S92000003,Total,d,25 to 44,"",0,7,0.48906417569979843,0,0,0,468,32.69743346107224
