Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200304,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,9,57,38.43819542787781,11,0,0,,11,0,,:,,:,0,0
20200304,S08000019,NHS Forth Valley,1,3,0.9806164808943222,,0,0,0,19,119,38.89778707547478,33,4,12.121212121212121,,33,0,,:,,:,4,0
20200304,S08000020,NHS Grampian,2,5,0.853898044573478,,0,0,0,5,121,20.664332678678168,7,2,28.57142857142857,,7,0,,:,,:,2,0
20200304,S08000022,NHS Highland,0,0,0,,0,0,0,8,51,15.894782771302125,8,0,0,,8,0,,:,,:,0,0
20200304,S08000024,NHS Lothian,1,1,0.10959024208484476,,0,0,0,27,289,31.671579962520134,33,1,3.0303030303030303,,33,0,,:,,:,1,0
20200304,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.857142857142858,0,0,0,,0,0,,:,,:,0,0
20200304,S08000026,NHS Shetland,0,0,0,,0,0,0,1,1,4.3725404459991255,1,0,0,,1,0,,:,,:,0,0
20200304,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,2,7.547169811320755,1,0,0,,1,0,,:,,:,0,0
20200304,S08000029,NHS Fife,2,2,0.5345735439553096,,0,0,0,1,85,22.71937561810066,3,2,66.66666666666666,,3,0,,:,,:,2,0
20200304,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,10,121,29.048133477373664,22,0,0,,22,0,,:,,:,0,0
20200304,S08000031,NHS Greater Glasgow and Clyde,0,1,0.08437109783672504,,0,0,0,67,336,28.348688873139615,92,0,0,,92,0,,:,,:,0,0
20200304,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,19,143,21.602513747054203,26,0,0,,26,0,,:,,:,0,0
20200304,S92000003,Scotland,6,14,0.2561287961946579,,0,0,0,180,1440,26.344676180021956,255,10,3.9215686274509802,,255,0,10,"",,:,10,0
20200305,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,0.27174651485094703,0,0,0,15,89,24.18543982173429,17,0,0,2.4691358024691357,17,0,,:,,:,0,0
20200305,S08000016,NHS Borders,0,0,0,0,0,0,0,1,38,32.97466157584172,1,0,0,0,1,0,,:,,:,0,0
20200305,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,6,63,42.48432126239126,6,0,0,0,6,0,,:,,:,0,0
20200305,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,14,133,43.473997319648284,18,0,0,4.411764705882353,18,0,,:,,:,0,0
20200305,S08000020,NHS Grampian,0,5,0.853898044573478,0.6831184356587824,0,0,0,5,126,21.518230723251644,15,2,13.333333333333334,8.21917808219178,15,0,,:,,:,2,0
20200305,S08000022,NHS Highland,0,0,0,0,0,0,0,9,60,18.69974443682603,11,0,0,0,11,0,,:,,:,0,0
20200305,S08000024,NHS Lothian,0,1,0.10959024208484476,0.10959024208484476,0,0,0,21,310,33.972975046301876,32,1,3.125,0.8333333333333334,32,0,,:,,:,1,0
20200305,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,4,17.857142857142858,0,0,0,0,0,0,,:,,:,0,0
20200305,S08000026,NHS Shetland,0,0,0,,0,0,0,1,2,8.745080891998251,2,0,0,,2,0,,:,,:,0,0
20200305,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,2,7.547169811320755,2,0,0,,2,0,,:,,:,0,0
20200305,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,8,93,24.857669793921897,9,0,0,3.3333333333333335,9,0,,:,,:,0,0
20200305,S08000030,NHS Tayside,0,1,0.24006721882126994,0.24006721882126994,0,0,0,12,133,31.928940103228904,30,2,6.666666666666667,7.5,30,0,,:,,:,2,0
20200305,S08000031,NHS Greater Glasgow and Clyde,1,2,0.16874219567345008,0.16874219567345008,0,0,0,69,405,34.170294623873644,91,2,2.197802197802198,0.9501187648456058,91,0,,:,,:,2,0
20200305,S08000032,NHS Lanarkshire,1,1,0.15106652969967974,0.15106652969967974,0,0,0,22,165,24.925977400447156,32,1,3.125,0.6369426751592357,32,0,,:,,:,1,0
20200305,S92000003,Scotland,2,16,0.29271862422246614,0.27442371020856204,0,0,0,183,1623,29.69264544456641,266,8,3.007518796992481,2.2566995768688294,266,0,19,"",,:,8,0
20200306,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,0.27174651485094703,0,0,0,8,97,26.359411940541865,13,0,0,2.3529411764705883,13,0,,:,,:,0,0
20200306,S08000016,NHS Borders,0,0,0,0,0,0,0,5,43,37.3134328358209,5,0,0,0,5,0,,:,,:,0,0
20200306,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,17,80,53.94834446017938,19,0,0,0,19,0,,:,,:,0,0
20200306,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,17,150,49.03082404471611,38,2,5.263157894736842,5.194805194805195,38,0,,:,,:,2,0
20200306,S08000020,NHS Grampian,0,5,0.853898044573478,0.6831184356587824,0,0,0,5,131,22.37212876782512,11,1,9.090909090909092,8.974358974358974,11,0,,:,,:,1,0
20200306,S08000022,NHS Highland,0,0,0,0,0,0,0,8,68,21.193043695069502,8,0,0,0,8,0,,:,,:,0,0
20200306,S08000024,NHS Lothian,2,3,0.3287707262545343,0.3287707262545343,0,0,0,27,337,36.93191158259269,37,3,8.108108108108109,2.2123893805309733,37,0,,:,,:,3,0
20200306,S08000025,NHS Orkney,0,0,0,0,0,0,0,2,6,26.78571428571429,2,0,0,0,2,0,,:,,:,0,0
20200306,S08000026,NHS Shetland,2,2,8.745080891998251,,0,0,0,0,2,8.745080891998251,2,2,100,,2,0,,:,,:,2,0
20200306,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,3,11.320754716981131,2,0,0,,2,0,,:,,:,0,0
20200306,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,7,100,26.72867719776548,13,1,7.6923076923076925,5.084745762711865,13,0,,:,,:,1,0
20200306,S08000030,NHS Tayside,0,1,0.24006721882126994,0,0,0,0,16,149,35.77001560436923,41,1,2.4390243902439024,5.228758169934641,41,0,,:,,:,1,0
