Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200320,S92000003,2,12,66,6.07296390083034,1,3,0.27604381367410635,1469,135.16945409575408
20200320,S92000003,3,23,77,7.05207637856645,0,1,0.09158540751385,1465,134.17262200779027
20200320,S92000003,4,20,109,9.849634930962193,1,2,0.18072724643967325,1412,127.5934359864093
20200320,S92000003,5,17,120,10.990158313230502,0,2,0.18316930522050837,1497,137.1022249575505
20200321,S92000003,1,6,75,6.905358834670057,2,7,0.6445001579025387,1796,165.36032622756565
20200321,S92000003,2,14,80,7.361168364642836,1,4,0.3680584182321418,1556,143.17472469230316
20200321,S92000003,3,15,92,8.4258574912742,1,2,0.1831708150277,1546,141.5910400164121
20200321,S92000003,4,11,120,10.843634786380393,1,3,0.27109086965950985,1500,135.54543482975492
20200321,S92000003,5,20,140,12.821851365435585,1,3,0.27475395783076256,1575,144.24582786115033
20200322,S92000003,1,11,86,7.918144797088333,0,7,0.6445001579025387,1882,173.27847102465398
20200322,S92000003,2,14,94,8.649372828455332,2,6,0.5520876273482127,1638,150.71992226606207
20200322,S92000003,3,15,107,9.79963860398195,0,2,0.1831708150277,1607,147.17774987475696
20200322,S92000003,4,14,134,12.108725511458108,1,4,0.3614544928793465,1573,142.141979324803
20200322,S92000003,5,18,158,14.470375112420161,2,5,0.4579232630512709,1632,149.46615305993484
20200323,S92000003,1,25,111,10.219931075311685,1,8,0.7365716090314728,1998,183.95875935561034
20200323,S92000003,2,31,125,11.501825569754432,1,7,0.6441022319062482,1760,161.9457040221424
20200323,S92000003,3,30,137,12.54720082939745,1,3,0.27475622254155,1735,158.90068203652976
20200323,S92000003,4,16,150,13.554543482975493,0,4,0.3614544928793465,1697,153.34706860406274
20200323,S92000003,5,30,188,17.217914690727785,1,6,0.5495079156615251,1728,158.25827971051922
20200324,S92000003,1,33,144,13.25828896256651,1,9,0.8286430601604069,2142,197.21704831817686
20200324,S92000003,2,35,160,14.722336729285672,3,10,0.9201460455803545,1885,173.44752959189682
20200324,S92000003,3,25,162,14.8368360172437,1,4,0.3663416300554,1870,171.2647120508995
20200324,S92000003,4,29,179,16.175088556350758,1,5,0.4518181160991831,1828,165.18470324586133
20200324,S92000003,5,40,228,20.881300795137953,1,7,0.6410925682717793,1880,172.17914690727787
20200325,S92000003,1,42,186,17.125289909981742,1,10,0.920714511289341,2269,208.91012261155146
20200325,S92000003,2,33,193,17.75881867970084,1,11,1.01216065013839,1999,183.93719451151287
20200325,S92000003,3,33,195,17.85915446520075,4,8,0.7326832601108,2007,183.81191288029697
20200325,S92000003,4,40,219,19.789633485144222,1,6,0.5421817393190197,1979,178.82961035205668
20200325,S92000003,5,35,263,24.08676363649685,4,11,1.0074311787127959,2029,185.82526014620575
20200326,S92000003,1,53,239,22.00507681981525,1,11,1.0127859624182751,2412,222.07634012298905
20200326,S92000003,2,38,231,21.25537365290619,4,15,1.3802190683705318,2154,198.19945821800837
20200326,S92000003,3,32,227,20.78988750564395,1,9,0.82426866762465,2151,197.00021156229133
20200326,S92000003,4,45,264,23.85599653003687,4,10,0.9036362321983662,2157,194.9143352851876
20200326,S92000003,5,47,310,28.3912423091788,2,13,1.1906004839333044,2173,199.01345012208233
20200327,S92000003,1,60,299,27.529363887551295,1,12,1.1048574135472091,2553,235.05841473216876
20200327,S92000003,2,51,282,25.948118485366,6,21,1.9323066957187447,2295,211.17351746069136
20200327,S92000003,3,43,270,24.7280600287395,2,11,1.00743948265235,2296,210.2800956517996
20200327,S92000003,4,52,316,28.554904937468372,1,11,0.9939998554182028,2277,205.757970071568
20200327,S92000003,5,65,375,34.34424472884532,1,14,1.2821851365435586,2346,214.85759502365633
20200328,S92000003,1,42,341,31.39636483496653,9,21,1.933500473707616,2668,245.64663161199618
20200328,S92000003,2,41,323,29.72071727224545,7,28,2.5764089276249926,2427,223.31944526235202
20200328,S92000003,3,37,307,28.11672010675195,8,19,1.74012274276315,2426,222.18619862860012
20200328,S92000003,4,36,352,31.80799537338249,2,13,1.174727101857876,2397,216.6016048579484
20200328,S92000003,5,47,422,38.64872340152727,3,17,1.556939094374321,2479,227.0383538208201
20200329,S92000003,1,50,391,35.99993739141323,6,27,2.4859291804812207,2747,252.92027625118197
20200329,S92000003,2,48,371,34.13741829103115,3,31,2.852452741299099,2507,230.68061362699487
20200329,S92000003,3,38,345,31.59696559227825,3,22,2.0148789653047,2515,230.33729989733274
20200329,S92000003,4,24,376,33.976722330658575,2,15,1.3554543482975492,2475,223.64996746909566
20200329,S92000003,5,34,456,41.76260159027591,6,23,2.106447010035846,2550,233.54086415614816
20200330,S92000003,1,67,458,42.168724617051815,7,34,3.130429338383759,2907,267.6517084318114
20200330,S92000003,2,73,444,40.854484423767744,5,36,3.3125257640892762,2651,243.930716683352
20200330,S92000003,3,46,391,35.80989433791535,11,33,3.02231844795705,2682,245.63206295214573
20200330,S92000003,4,64,440,39.75999421672812,2,17,1.5361815947372226,2665,240.81905588086457
20200330,S92000003,5,63,519,47.53243470472192,5,28,2.564370273087117,2747,251.58304072036825
20200331,S92000003,1,84,542,49.90272651188228,12,46,4.2352867519309685,3074,283.0276407703434
20200331,S92000003,2,79,523,48.12363818385254,8,44,4.04864260055356,2837,261.0454331311466
20200331,S92000003,3,42,433,39.65648145349705,11,44,4.0297579306094,2871,262.9417049722634
20200331,S92000003,4,63,503,45.45290247957782,3,20,1.8072724643967324,2871,259.4339622641509
20200331,S92000003,5,69,588,53.85177573482946,4,32,2.930708883528134,2981,273.0138494311677
20200401,S92000003,1,75,617,56.80808534655234,13,59,5.432215616607111,3236,297.9432158532307
20200401,S92000003,2,81,604,55.57682115305341,10,54,4.968788646133914,3005,276.50388669689653
20200401,S92000003,3,72,505,46.25063079449425,7,51,4.67085578320635,3044,278.7859804721594
20200401,S92000003,4,67,570,51.50726523530688,10,30,2.7109086965950984,3053,275.8801416901612
20200401,S92000003,5,88,676,61.91122516453183,6,38,3.480216799189659,3142,287.75897850141865
20200402,S92000003,1,68,685,63.06894402331986,8,67,6.168787225638585,3404,313.41121964289164
20200402,S92000003,2,91,695,63.95015016783464,9,63,5.796920087156233,3163,291.04219421706614
20200402,S92000003,3,79,584,53.4858779880884,8,59,5.40353904331715,3185,291.69952293161225
20200402,S92000003,4,70,640,57.83271886069544,8,38,3.4338176823537916,3203,289.4346851731367
20200402,S92000003,5,45,721,66.03253453199328,3,41,3.754970757020421,3305,302.6872768768901
20200403,S92000003,1,91,776,71.44744607605286,18,85,7.826073345959399,3585,330.07615229722876
20200403,S92000003,2,89,784,72.1394499734998,11,74,6.809080737294623,3329,306.3166185737
20200403,S92000003,3,71,655,59.988441921571756,10,69,6.31939311845565,3373,308.91757954421604
20200403,S92000003,4,71,711,64.24853610930384,11,49,4.427817537771995,3356,303.2603195257717
20200403,S92000003,5,53,774,70.88652112033674,8,49,4.487647977902455,3476,318.3482524732436
20200404,S92000003,1,56,832,76.60344733927316,5,90,8.286430601604069,3728,343.2423698086663
20200404,S92000003,2,64,848,78.02838466521406,9,83,7.637212178316942,3449,317.3583711206643
20200404,S92000003,3,42,697,63.835029037153454,2,71,6.50256393348335,3466,317.43502244300413
20200404,S92000003,4,46,757,68.40526277741633,4,53,4.789272030651341,3464,313.0195908335141
20200404,S92000003,5,42,816,74.73307652996742,7,56,5.128740546174234,3579,327.78147169209973
20200405,S92000003,1,61,893,82.21980585813814,13,103,9.483359466280213,3837,353.27815798172014
20200405,S92000003,2,46,894,82.2610564748837,15,98,9.017431246687474,3570,328.49213827218654
20200405,S92000003,3,58,755,69.14698267295675,5,76,6.9604909710526,3560,326.044050749306
20200405,S92000003,4,32,789,71.2968987204511,8,61,5.512181016410034,3552,320.9715896768597
20200405,S92000003,5,28,844,77.29744680305454,6,62,5.67824846183576,3663,335.47458251136106
20200406,S92000003,1,101,994,91.51902242216049,20,123,11.324788488858895,4039,371.8765911097648
20200406,S92000003,2,88,982,90.35834167599081,14,112,10.30563571049997,3734,343.58253341970436
20200406,S92000003,3,75,830,76.0158882364955,14,90,8.2426866762465,3729,341.5219846191466
20200406,S92000003,4,57,846,76.44762524398178,8,69,6.235090002168728,3698,334.1646786669558
20200406,S92000003,5,78,922,84.44104970665435,7,69,6.319341030107538,3820,349.853372971171
20200407,S92000003,1,95,1089,100.26581027940922,17,140,12.890003158050773,4228,389.2780953731334
20200407,S92000003,2,71,1053,96.89137859961133,13,125,11.501825569754432,3894,358.30487014899006
20200407,S92000003,3,70,900,82.42686676246501,10,100,9.158540751385,3875,354.89345411616875
20200407,S92000003,4,67,913,82.50198799971083,6,75,6.777271741487747,3863,349.0746764982289
20200407,S92000003,5,44,966,88.47077442150554,3,72,6.594094987938302,3969,363.49948621009884
20200408,S92000003,1,77,1166,107.35531201633715,20,160,14.731432180629456,4403,405.3905993206968
20200408,S92000003,2,74,1127,103.70045933690596,17,142,13.066073847241034,4085,375.8796596195748
