Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200301,S12000021,North Ayrshire,0,0,0,,0,0,0,2,19,14.15270018621974,2,0,0,,2,0,0,0
20200301,S12000023,Orkney Islands,0,0,0,,0,0,0,0,5,22.32142857142857,0,0,0,,0,0,0,0
20200301,S12000026,Scottish Borders,0,0,0,,0,0,0,2,29,25.16487330787921,3,0,0,,3,0,0,0
20200301,S12000028,South Ayrshire,0,0,0,,0,0,0,1,5,4.458712323880864,1,0,0,,1,0,0,0
20200301,S12000029,South Lanarkshire,0,0,0,,0,0,0,3,28,8.727635434199863,3,0,0,,3,0,0,0
20200301,S12000030,Stirling,0,0,0,,0,0,0,0,25,26.57312925170068,3,0,0,,3,0,0,0
20200301,S12000033,Aberdeen City,0,0,0,,0,0,0,3,31,13.53357198987165,3,0,0,,3,0,0,0
20200301,S12000034,Aberdeenshire,0,1,0.3834649896464453,,0,0,0,0,32,12.27087966868625,1,0,0,,1,0,0,0
20200301,S12000035,Argyll and Bute,0,0,0,,0,0,0,0,3,3.511646962425377,1,0,0,,1,0,0,0
20200301,S12000036,City of Edinburgh,0,0,0,,0,0,0,11,122,23.12270194458133,13,0,0,,13,0,0,0
20200301,S12000038,Renfrewshire,0,0,0,,0,0,0,6,24,13.378672166787446,6,0,0,,6,0,0,0
20200301,S12000039,West Dunbartonshire,0,0,0,,0,0,0,1,11,12.451890423364274,1,0,0,,1,0,0,0
20200301,S12000040,West Lothian,0,0,0,,0,0,0,2,22,11.968229790011968,2,0,0,,2,0,0,0
20200301,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,3,31,26.76567086858919,3,0,0,,3,0,0,0
20200301,S12000042,Dundee City,0,0,0,,0,0,0,0,20,13.439053890606102,0,0,0,,0,0,0,0
20200301,S12000045,East Dunbartonshire,0,0,0,,0,0,0,2,17,15.632183908045977,2,0,0,,2,0,0,0
20200301,S12000047,Fife,0,0,0,,0,0,0,1,60,16.037206318659287,2,0,0,,2,0,0,0
20200301,S12000048,Perth and Kinross,0,0,0,,0,0,0,0,27,17.77368178526759,0,0,0,,0,0,0,0
20200301,S12000049,Glasgow City,0,0,0,,0,0,0,10,88,13.844314391794097,12,0,0,,12,0,0,0
20200301,S12000050,North Lanarkshire,0,0,0,,0,0,0,4,42,12.311660901682595,6,0,0,,6,0,0,0
20200302,S12000005,Clackmannanshire,0,1,1.9496977968414897,,0,0,0,3,17,33.144862546305326,4,0,0,,4,0,0,0
20200302,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,11,41,27.64852653584193,13,0,0,,13,0,0,0
20200302,S12000008,East Ayrshire,0,0,0,,0,0,0,1,14,11.513157894736842,1,0,0,,1,0,0,0
20200302,S12000010,East Lothian,0,0,0,,0,0,0,4,19,17.608897126969417,6,0,0,,6,0,0,0
20200302,S12000011,East Renfrewshire,0,0,0,,0,0,0,2,10,10.410160316468874,3,0,0,,3,0,0,0
20200302,S12000014,Falkirk,0,0,0,,0,0,0,4,38,23.667164922770304,5,0,0,,5,0,0,0
20200302,S12000017,Highland,0,0,0,,0,0,0,3,30,12.742641124750456,3,0,0,,3,0,0,0
20200302,S12000018,Inverclyde,0,0,0,,0,0,0,2,15,19.465351674020244,4,0,0,,4,0,0,0
20200302,S12000019,Midlothian,0,0,0,,0,0,0,3,18,19.32367149758454,7,0,0,,7,0,0,0
20200302,S12000020,Moray,0,1,1.0448229025180231,,0,0,0,1,15,15.672343537770347,1,0,0,,1,0,0,0
20200302,S12000021,North Ayrshire,1,1,0.74487895716946,,0,0,0,4,23,17.13221601489758,5,1,20,,5,0,1,0
20200302,S12000023,Orkney Islands,0,0,0,,0,0,0,0,5,22.32142857142857,0,0,0,,0,0,0,0
20200302,S12000026,Scottish Borders,0,0,0,,0,0,0,3,32,27.768136063866717,3,0,0,,3,0,0,0
20200302,S12000028,South Ayrshire,0,0,0,,0,0,0,3,8,7.1339397182093816,4,0,0,,4,0,0,0
20200302,S12000029,South Lanarkshire,0,0,0,,0,0,0,15,43,13.403154416806933,19,0,0,,19,0,0,0
20200302,S12000030,Stirling,0,0,0,,0,0,0,7,32,34.01360544217687,12,0,0,,12,0,0,0
20200302,S12000033,Aberdeen City,0,0,0,,0,0,0,10,41,17.899240373701215,11,0,0,,11,0,0,0
20200302,S12000034,Aberdeenshire,0,1,0.3834649896464453,,0,0,0,6,38,14.571669606564921,6,0,0,,6,0,0,0
20200302,S12000035,Argyll and Bute,0,0,0,,0,0,0,0,3,3.511646962425377,0,0,0,,0,0,0,0
20200302,S12000036,City of Edinburgh,0,0,0,,0,0,0,31,153,28.998142602630683,32,0,0,,32,0,0,0
20200302,S12000038,Renfrewshire,0,0,0,,0,0,0,10,34,18.95311890294888,12,0,0,,12,0,0,0
20200302,S12000039,West Dunbartonshire,0,0,0,,0,0,0,6,17,19.243830654290242,6,0,0,,6,0,0,0
20200302,S12000040,West Lothian,0,0,0,,0,0,0,4,26,14.144271570014144,5,0,0,,5,0,0,0
20200302,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,3,34,29.355897081678467,12,3,25,,12,0,3,0
20200302,S12000042,Dundee City,0,0,0,,0,0,0,2,22,14.782959279666713,2,0,0,,2,0,0,0
20200302,S12000045,East Dunbartonshire,0,0,0,,0,0,0,6,23,21.149425287356323,9,0,0,,9,0,0,0
20200302,S12000047,Fife,0,0,0,,0,0,0,13,73,19.5119343543688,14,0,0,,14,0,0,0
20200302,S12000048,Perth and Kinross,0,0,0,,0,0,0,1,28,18.43196629583306,5,0,0,,5,0,0,0
20200302,S12000049,Glasgow City,0,0,0,,0,0,0,36,124,19.5078975520735,46,0,0,,46,0,0,0
20200302,S12000050,North Lanarkshire,0,0,0,,0,0,0,10,52,15.243008735416543,13,0,0,,13,0,0,0
20200303,S12000005,Clackmannanshire,1,2,3.8993955936829794,,0,0,0,3,20,38.99395593682979,4,1,25,,4,0,1,0
20200303,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,8,49,33.04336098185987,10,0,0,,10,0,0,0
