areaCode,areaName,areaType,date,newPCRTestsByPublishDate
K02000001,United Kingdom,overview,2020-07-22,137234
K02000001,United Kingdom,overview,2020-07-21,132626
K02000001,United Kingdom,overview,2020-07-20,92518
K02000001,United Kingdom,overview,2020-07-19,114222
K02000001,United Kingdom,overview,2020-07-18,135779
K02000001,United Kingdom,overview,2020-07-17,164440
K02000001,United Kingdom,overview,2020-07-16,150975
K02000001,United Kingdom,overview,2020-07-15,137828
K02000001,United Kingdom,overview,2020-07-14,118186
K02000001,United Kingdom,overview,2020-07-13,85880
K02000001,United Kingdom,overview,2020-07-12,94700
K02000001,United Kingdom,overview,2020-07-11,126549
K02000001,United Kingdom,overview,2020-07-10,134030
K02000001,United Kingdom,overview,2020-07-09,137861
K02000001,United Kingdom,overview,2020-07-08,127389
K02000001,United Kingdom,overview,2020-07-07,106977
K02000001,United Kingdom,overview,2020-07-06,77469
K02000001,United Kingdom,overview,2020-07-05,92774
K02000001,United Kingdom,overview,2020-07-04,114274
K02000001,United Kingdom,overview,2020-07-03,139218
K02000001,United Kingdom,overview,2020-07-02,136186
K02000001,United Kingdom,overview,2020-07-01,123348
K02000001,United Kingdom,overview,2020-06-30,112164
K02000001,United Kingdom,overview,2020-06-29,75662
K02000001,United Kingdom,overview,2020-06-28,83157
K02000001,United Kingdom,overview,2020-06-27,100631
K02000001,United Kingdom,overview,2020-06-26,105971
K02000001,United Kingdom,overview,2020-06-25,108124
K02000001,United Kingdom,overview,2020-06-24,91135
K02000001,United Kingdom,overview,2020-06-23,73646
K02000001,United Kingdom,overview,2020-06-22,63026
K02000001,United Kingdom,overview,2020-06-21,60484
K02000001,United Kingdom,overview,2020-06-20,83467
K02000001,United Kingdom,overview,2020-06-19,90547
K02000001,United Kingdom,overview,2020-06-18,89613
K02000001,United Kingdom,overview,2020-06-17,86438
K02000001,United Kingdom,overview,2020-06-16,80862
K02000001,United Kingdom,overview,2020-06-15,71402
K02000001,United Kingdom,overview,2020-06-14,69529
K02000001,United Kingdom,overview,2020-06-13,98974
K02000001,United Kingdom,overview,2020-06-12,98899
K02000001,United Kingdom,overview,2020-06-11,101778
K02000001,United Kingdom,overview,2020-06-10,101033
K02000001,United Kingdom,overview,2020-06-09,93959
K02000001,United Kingdom,overview,2020-06-08,69999
K02000001,United Kingdom,overview,2020-06-07,86926
K02000001,United Kingdom,overview,2020-06-06,93154
K02000001,United Kingdom,overview,2020-06-05,101961
K02000001,United Kingdom,overview,2020-06-04,99484
K02000001,United Kingdom,overview,2020-06-03,101885
K02000001,United Kingdom,overview,2020-06-02,92299
K02000001,United Kingdom,overview,2020-06-01,70648
K02000001,United Kingdom,overview,2020-05-31,82243
K02000001,United Kingdom,overview,2020-05-30,96995
K02000001,United Kingdom,overview,2020-05-29,105459
K02000001,United Kingdom,overview,2020-05-28,101753
K02000001,United Kingdom,overview,2020-05-27,82670
K02000001,United Kingdom,overview,2020-05-26,77745
K02000001,United Kingdom,overview,2020-05-25,78385
K02000001,United Kingdom,overview,2020-05-24,59464
K02000001,United Kingdom,overview,2020-05-23,91841
K02000001,United Kingdom,overview,2020-05-22,91196
K02000001,United Kingdom,overview,2020-05-21,105655
K02000001,United Kingdom,overview,2020-05-20,86634
K02000001,United Kingdom,overview,2020-05-19,86041
K02000001,United Kingdom,overview,2020-05-18,70074
K02000001,United Kingdom,overview,2020-05-17,81278
K02000001,United Kingdom,overview,2020-05-16,91360
K02000001,United Kingdom,overview,2020-05-15,91342
K02000001,United Kingdom,overview,2020-05-14,84693
K02000001,United Kingdom,overview,2020-05-13,83182
K02000001,United Kingdom,overview,2020-05-12,74593
K02000001,United Kingdom,overview,2020-05-11,70332
K02000001,United Kingdom,overview,2020-05-10,76507
K02000001,United Kingdom,overview,2020-05-09,77152
K02000001,United Kingdom,overview,2020-05-08,76963
K02000001,United Kingdom,overview,2020-05-07,77466
K02000001,United Kingdom,overview,2020-05-06,74455
K02000001,United Kingdom,overview,2020-05-05,66919
K02000001,United Kingdom,overview,2020-05-04,72630
K02000001,United Kingdom,overview,2020-05-03,68203
K02000001,United Kingdom,overview,2020-05-02,63559
K02000001,United Kingdom,overview,2020-05-01,74142
K02000001,United Kingdom,overview,2020-04-30,83143
K02000001,United Kingdom,overview,2020-04-29,65643
K02000001,United Kingdom,overview,2020-04-28,45263
K02000001,United Kingdom,overview,2020-04-27,31453
K02000001,United Kingdom,overview,2020-04-26,31610
K02000001,United Kingdom,overview,2020-04-25,29058
K02000001,United Kingdom,overview,2020-04-24,28225
K02000001,United Kingdom,overview,2020-04-23,28024
K02000001,United Kingdom,overview,2020-04-22,23073
K02000001,United Kingdom,overview,2020-04-21,22763
