areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-02-18,1338
K02000001,United Kingdom,overview,2021-02-17,1411
K02000001,United Kingdom,overview,2021-02-16,1493
K02000001,United Kingdom,overview,2021-02-15,1502
K02000001,United Kingdom,overview,2021-02-14,1535
K02000001,United Kingdom,overview,2021-02-13,1427
K02000001,United Kingdom,overview,2021-02-12,1508
K02000001,United Kingdom,overview,2021-02-11,1679
K02000001,United Kingdom,overview,2021-02-10,1725
K02000001,United Kingdom,overview,2021-02-09,1755
K02000001,United Kingdom,overview,2021-02-08,1920
K02000001,United Kingdom,overview,2021-02-07,1851
K02000001,United Kingdom,overview,2021-02-06,1893
K02000001,United Kingdom,overview,2021-02-05,2005
K02000001,United Kingdom,overview,2021-02-04,2142
K02000001,United Kingdom,overview,2021-02-03,2360
K02000001,United Kingdom,overview,2021-02-02,2483
K02000001,United Kingdom,overview,2021-02-01,2602
K02000001,United Kingdom,overview,2021-01-31,2407
K02000001,United Kingdom,overview,2021-01-30,2472
K02000001,United Kingdom,overview,2021-01-29,2687
K02000001,United Kingdom,overview,2021-01-28,3046
K02000001,United Kingdom,overview,2021-01-27,3058
K02000001,United Kingdom,overview,2021-01-26,3151
K02000001,United Kingdom,overview,2021-01-25,2931
K02000001,United Kingdom,overview,2021-01-24,3112
K02000001,United Kingdom,overview,2021-01-23,3116
K02000001,United Kingdom,overview,2021-01-22,3392
K02000001,United Kingdom,overview,2021-01-21,3636
K02000001,United Kingdom,overview,2021-01-20,4050
K02000001,United Kingdom,overview,2021-01-19,4161
K02000001,United Kingdom,overview,2021-01-18,4063
K02000001,United Kingdom,overview,2021-01-17,3750
K02000001,United Kingdom,overview,2021-01-16,3941
K02000001,United Kingdom,overview,2021-01-15,3683
K02000001,United Kingdom,overview,2021-01-14,4103
K02000001,United Kingdom,overview,2021-01-13,4224
K02000001,United Kingdom,overview,2021-01-12,4583
K02000001,United Kingdom,overview,2021-01-11,4308
K02000001,United Kingdom,overview,2021-01-10,3937
K02000001,United Kingdom,overview,2021-01-09,4126
K02000001,United Kingdom,overview,2021-01-08,3999
K02000001,United Kingdom,overview,2021-01-07,4294
K02000001,United Kingdom,overview,2021-01-06,4392
K02000001,United Kingdom,overview,2021-01-05,4118
K02000001,United Kingdom,overview,2021-01-04,3936
K02000001,United Kingdom,overview,2021-01-03,3649
K02000001,United Kingdom,overview,2021-01-02,3443
K02000001,United Kingdom,overview,2021-01-01,3368
K02000001,United Kingdom,overview,2020-12-31,2921
K02000001,United Kingdom,overview,2020-12-30,3294
K02000001,United Kingdom,overview,2020-12-29,3252
K02000001,United Kingdom,overview,2020-12-28,3138
K02000001,United Kingdom,overview,2020-12-27,2872
K02000001,United Kingdom,overview,2020-12-26,2530
K02000001,United Kingdom,overview,2020-12-25,2181
K02000001,United Kingdom,overview,2020-12-24,2083
K02000001,United Kingdom,overview,2020-12-23,2278
K02000001,United Kingdom,overview,2020-12-22,2481
K02000001,United Kingdom,overview,2020-12-21,2369
K02000001,United Kingdom,overview,2020-12-20,2170
K02000001,United Kingdom,overview,2020-12-19,2045
K02000001,United Kingdom,overview,2020-12-18,1920
K02000001,United Kingdom,overview,2020-12-17,2145
K02000001,United Kingdom,overview,2020-12-16,2081
K02000001,United Kingdom,overview,2020-12-15,1958
K02000001,United Kingdom,overview,2020-12-14,1956
K02000001,United Kingdom,overview,2020-12-13,1755
K02000001,United Kingdom,overview,2020-12-12,1800
K02000001,United Kingdom,overview,2020-12-11,1688
K02000001,United Kingdom,overview,2020-12-10,1753
K02000001,United Kingdom,overview,2020-12-09,1757
K02000001,United Kingdom,overview,2020-12-08,1783
K02000001,United Kingdom,overview,2020-12-07,1662
K02000001,United Kingdom,overview,2020-12-06,1471
K02000001,United Kingdom,overview,2020-12-05,1379
K02000001,United Kingdom,overview,2020-12-04,1432
K02000001,United Kingdom,overview,2020-12-03,1503
K02000001,United Kingdom,overview,2020-12-02,1486
K02000001,United Kingdom,overview,2020-12-01,1490
K02000001,United Kingdom,overview,2020-11-30,1406
K02000001,United Kingdom,overview,2020-11-29,1388
K02000001,United Kingdom,overview,2020-11-28,1220
K02000001,United Kingdom,overview,2020-11-27,1280
K02000001,United Kingdom,overview,2020-11-26,1425
K02000001,United Kingdom,overview,2020-11-25,1614
K02000001,United Kingdom,overview,2020-11-24,1499
K02000001,United Kingdom,overview,2020-11-23,1588
K02000001,United Kingdom,overview,2020-11-22,1492
K02000001,United Kingdom,overview,2020-11-21,1462
K02000001,United Kingdom,overview,2020-11-20,1551
K02000001,United Kingdom,overview,2020-11-19,1687
K02000001,United Kingdom,overview,2020-11-18,1786
K02000001,United Kingdom,overview,2020-11-17,1718
K02000001,United Kingdom,overview,2020-11-16,1770
K02000001,United Kingdom,overview,2020-11-15,1674
K02000001,United Kingdom,overview,2020-11-14,1616
K02000001,United Kingdom,overview,2020-11-13,1650
K02000001,United Kingdom,overview,2020-11-12,1917
K02000001,United Kingdom,overview,2020-11-11,1972
K02000001,United Kingdom,overview,2020-11-10,1856
K02000001,United Kingdom,overview,2020-11-09,1769
K02000001,United Kingdom,overview,2020-11-08,1692
K02000001,United Kingdom,overview,2020-11-07,1559
K02000001,United Kingdom,overview,2020-11-06,1417
K02000001,United Kingdom,overview,2020-11-05,1590
K02000001,United Kingdom,overview,2020-11-04,1686
K02000001,United Kingdom,overview,2020-11-03,1526
K02000001,United Kingdom,overview,2020-11-02,1573
K02000001,United Kingdom,overview,2020-11-01,1498
K02000001,United Kingdom,overview,2020-10-31,1461
K02000001,United Kingdom,overview,2020-10-30,1383
K02000001,United Kingdom,overview,2020-10-29,1590
K02000001,United Kingdom,overview,2020-10-28,1494
K02000001,United Kingdom,overview,2020-10-27,1498
K02000001,United Kingdom,overview,2020-10-26,1540
K02000001,United Kingdom,overview,2020-10-25,1423
K02000001,United Kingdom,overview,2020-10-24,1262
K02000001,United Kingdom,overview,2020-10-23,1299
K02000001,United Kingdom,overview,2020-10-22,1284
K02000001,United Kingdom,overview,2020-10-21,1264
K02000001,United Kingdom,overview,2020-10-20,1192
K02000001,United Kingdom,overview,2020-10-19,1108
K02000001,United Kingdom,overview,2020-10-18,1091
K02000001,United Kingdom,overview,2020-10-17,1032
K02000001,United Kingdom,overview,2020-10-16,925
K02000001,United Kingdom,overview,2020-10-15,1047
K02000001,United Kingdom,overview,2020-10-14,985
K02000001,United Kingdom,overview,2020-10-13,1031
K02000001,United Kingdom,overview,2020-10-12,889
K02000001,United Kingdom,overview,2020-10-11,824
K02000001,United Kingdom,overview,2020-10-10,724
K02000001,United Kingdom,overview,2020-10-09,707
K02000001,United Kingdom,overview,2020-10-08,714
K02000001,United Kingdom,overview,2020-10-07,693
K02000001,United Kingdom,overview,2020-10-06,724
K02000001,United Kingdom,overview,2020-10-05,629
K02000001,United Kingdom,overview,2020-10-04,632
K02000001,United Kingdom,overview,2020-10-03,533
K02000001,United Kingdom,overview,2020-10-02,529
K02000001,United Kingdom,overview,2020-10-01,529
K02000001,United Kingdom,overview,2020-09-30,453
K02000001,United Kingdom,overview,2020-09-29,441
K02000001,United Kingdom,overview,2020-09-28,445
K02000001,United Kingdom,overview,2020-09-27,342
K02000001,United Kingdom,overview,2020-09-26,352
K02000001,United Kingdom,overview,2020-09-25,383
K02000001,United Kingdom,overview,2020-09-24,425
K02000001,United Kingdom,overview,2020-09-23,424
K02000001,United Kingdom,overview,2020-09-22,352
K02000001,United Kingdom,overview,2020-09-21,371
K02000001,United Kingdom,overview,2020-09-20,289
K02000001,United Kingdom,overview,2020-09-19,261
K02000001,United Kingdom,overview,2020-09-18,263
K02000001,United Kingdom,overview,2020-09-17,264
K02000001,United Kingdom,overview,2020-09-16,285
K02000001,United Kingdom,overview,2020-09-15,270
K02000001,United Kingdom,overview,2020-09-14,258
K02000001,United Kingdom,overview,2020-09-13,226
K02000001,United Kingdom,overview,2020-09-12,218
K02000001,United Kingdom,overview,2020-09-11,231
K02000001,United Kingdom,overview,2020-09-10,218
K02000001,United Kingdom,overview,2020-09-09,203
K02000001,United Kingdom,overview,2020-09-08,186
K02000001,United Kingdom,overview,2020-09-07,146
K02000001,United Kingdom,overview,2020-09-06,139
K02000001,United Kingdom,overview,2020-09-05,130
K02000001,United Kingdom,overview,2020-09-04,155
