areaCode,areaName,areaType,date,newPillarThreeTestsByPublishDate
K02000001,United Kingdom,overview,2020-12-29,1959
K02000001,United Kingdom,overview,2020-12-28,642
K02000001,United Kingdom,overview,2020-12-27,588
K02000001,United Kingdom,overview,2020-12-26,735
K02000001,United Kingdom,overview,2020-12-25,588
K02000001,United Kingdom,overview,2020-12-24,3078
K02000001,United Kingdom,overview,2020-12-23,3105
K02000001,United Kingdom,overview,2020-12-22,2349
K02000001,United Kingdom,overview,2020-12-21,2457
K02000001,United Kingdom,overview,2020-12-20,480
K02000001,United Kingdom,overview,2020-12-19,1662
K02000001,United Kingdom,overview,2020-12-18,2718
K02000001,United Kingdom,overview,2020-12-17,2651
K02000001,United Kingdom,overview,2020-12-16,3549
K02000001,United Kingdom,overview,2020-12-15,2679
K02000001,United Kingdom,overview,2020-12-14,2172
K02000001,United Kingdom,overview,2020-12-13,365
K02000001,United Kingdom,overview,2020-12-12,966
K02000001,United Kingdom,overview,2020-12-11,2896
K02000001,United Kingdom,overview,2020-12-10,2611
K02000001,United Kingdom,overview,2020-12-09,2401
K02000001,United Kingdom,overview,2020-12-08,1990
K02000001,United Kingdom,overview,2020-12-07,2074
K02000001,United Kingdom,overview,2020-12-06,335
K02000001,United Kingdom,overview,2020-12-05,1417
K02000001,United Kingdom,overview,2020-12-04,3393
K02000001,United Kingdom,overview,2020-12-03,2916
K02000001,United Kingdom,overview,2020-12-02,2932
K02000001,United Kingdom,overview,2020-12-01,2563
K02000001,United Kingdom,overview,2020-11-30,1674
K02000001,United Kingdom,overview,2020-11-29,478
K02000001,United Kingdom,overview,2020-11-28,729
K02000001,United Kingdom,overview,2020-11-27,2757
K02000001,United Kingdom,overview,2020-11-26,3521
K02000001,United Kingdom,overview,2020-11-25,2955
K02000001,United Kingdom,overview,2020-11-24,2862
K02000001,United Kingdom,overview,2020-11-23,2387
K02000001,United Kingdom,overview,2020-11-22,417
K02000001,United Kingdom,overview,2020-11-21,903
K02000001,United Kingdom,overview,2020-11-20,2952
K02000001,United Kingdom,overview,2020-11-19,2912
K02000001,United Kingdom,overview,2020-11-18,3072
K02000001,United Kingdom,overview,2020-11-17,2832
K02000001,United Kingdom,overview,2020-11-16,2440
K02000001,United Kingdom,overview,2020-11-15,796
K02000001,United Kingdom,overview,2020-11-14,895
K02000001,United Kingdom,overview,2020-11-13,2802
K02000001,United Kingdom,overview,2020-11-12,3694
K02000001,United Kingdom,overview,2020-11-11,3498
K02000001,United Kingdom,overview,2020-11-10,3590
K02000001,United Kingdom,overview,2020-11-09,2787
K02000001,United Kingdom,overview,2020-11-08,629
K02000001,United Kingdom,overview,2020-11-07,866
K02000001,United Kingdom,overview,2020-11-06,3490
K02000001,United Kingdom,overview,2020-11-05,3603
K02000001,United Kingdom,overview,2020-11-04,3120
K02000001,United Kingdom,overview,2020-11-03,3612
K02000001,United Kingdom,overview,2020-11-02,2289
K02000001,United Kingdom,overview,2020-11-01,647
K02000001,United Kingdom,overview,2020-10-31,1011
K02000001,United Kingdom,overview,2020-10-30,2905
K02000001,United Kingdom,overview,2020-10-29,3266
K02000001,United Kingdom,overview,2020-10-28,3338
K02000001,United Kingdom,overview,2020-10-27,3214
K02000001,United Kingdom,overview,2020-10-26,2489
K02000001,United Kingdom,overview,2020-10-25,622
K02000001,United Kingdom,overview,2020-10-24,1463
K02000001,United Kingdom,overview,2020-10-23,3618
K02000001,United Kingdom,overview,2020-10-22,3419
K02000001,United Kingdom,overview,2020-10-21,3511
K02000001,United Kingdom,overview,2020-10-20,3886
K02000001,United Kingdom,overview,2020-10-19,3192
K02000001,United Kingdom,overview,2020-10-18,495
K02000001,United Kingdom,overview,2020-10-17,1226
K02000001,United Kingdom,overview,2020-10-16,4419
K02000001,United Kingdom,overview,2020-10-15,3742
K02000001,United Kingdom,overview,2020-10-14,3891
K02000001,United Kingdom,overview,2020-10-13,3163
K02000001,United Kingdom,overview,2020-10-12,2698
K02000001,United Kingdom,overview,2020-10-11,523
K02000001,United Kingdom,overview,2020-10-10,1307
K02000001,United Kingdom,overview,2020-10-09,5303
K02000001,United Kingdom,overview,2020-10-08,4112
K02000001,United Kingdom,overview,2020-10-07,4140
K02000001,United Kingdom,overview,2020-10-06,4473
K02000001,United Kingdom,overview,2020-10-05,3483
K02000001,United Kingdom,overview,2020-10-04,1275
K02000001,United Kingdom,overview,2020-10-03,1944
K02000001,United Kingdom,overview,2020-10-02,6411
K02000001,United Kingdom,overview,2020-10-01,5282
K02000001,United Kingdom,overview,2020-09-30,5705
K02000001,United Kingdom,overview,2020-09-29,5088
K02000001,United Kingdom,overview,2020-09-28,3786
K02000001,United Kingdom,overview,2020-09-27,1154
K02000001,United Kingdom,overview,2020-09-26,2708
K02000001,United Kingdom,overview,2020-09-25,6276
K02000001,United Kingdom,overview,2020-09-24,6261
K02000001,United Kingdom,overview,2020-09-23,6063
K02000001,United Kingdom,overview,2020-09-22,5770
K02000001,United Kingdom,overview,2020-09-21,4106
K02000001,United Kingdom,overview,2020-09-20,994
K02000001,United Kingdom,overview,2020-09-19,2538
K02000001,United Kingdom,overview,2020-09-18,7808
K02000001,United Kingdom,overview,2020-09-17,6647
K02000001,United Kingdom,overview,2020-09-16,6339
K02000001,United Kingdom,overview,2020-09-15,6370
K02000001,United Kingdom,overview,2020-09-14,4666
K02000001,United Kingdom,overview,2020-09-13,1172
K02000001,United Kingdom,overview,2020-09-12,3043
K02000001,United Kingdom,overview,2020-09-11,7895
K02000001,United Kingdom,overview,2020-09-10,5858
K02000001,United Kingdom,overview,2020-09-09,5893
K02000001,United Kingdom,overview,2020-09-08,6184
K02000001,United Kingdom,overview,2020-09-07,3797
K02000001,United Kingdom,overview,2020-09-06,1256
K02000001,United Kingdom,overview,2020-09-05,2807
K02000001,United Kingdom,overview,2020-09-04,6780
K02000001,United Kingdom,overview,2020-09-03,6579
K02000001,United Kingdom,overview,2020-09-02,6078
K02000001,United Kingdom,overview,2020-09-01,3995
K02000001,United Kingdom,overview,2020-08-31,1420
K02000001,United Kingdom,overview,2020-08-30,759
K02000001,United Kingdom,overview,2020-08-29,2309
K02000001,United Kingdom,overview,2020-08-28,6886
K02000001,United Kingdom,overview,2020-08-27,6994
K02000001,United Kingdom,overview,2020-08-26,6138
K02000001,United Kingdom,overview,2020-08-25,5682
K02000001,United Kingdom,overview,2020-08-24,3996
