areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2021-02-06,26915
K02000001,United Kingdom,overview,2021-02-05,28384
K02000001,United Kingdom,overview,2021-02-04,29414
K02000001,United Kingdom,overview,2021-02-03,30605
K02000001,United Kingdom,overview,2021-02-02,31767
K02000001,United Kingdom,overview,2021-02-01,32961
K02000001,United Kingdom,overview,2021-01-31,32587
K02000001,United Kingdom,overview,2021-01-30,33015
K02000001,United Kingdom,overview,2021-01-29,33847
K02000001,United Kingdom,overview,2021-01-28,34909
K02000001,United Kingdom,overview,2021-01-27,35513
K02000001,United Kingdom,overview,2021-01-26,37101
K02000001,United Kingdom,overview,2021-01-25,37756
K02000001,United Kingdom,overview,2021-01-24,37730
K02000001,United Kingdom,overview,2021-01-23,37398
K02000001,United Kingdom,overview,2021-01-22,38257
K02000001,United Kingdom,overview,2021-01-21,38059
K02000001,United Kingdom,overview,2021-01-20,38739
K02000001,United Kingdom,overview,2021-01-19,38846
K02000001,United Kingdom,overview,2021-01-18,39254
K02000001,United Kingdom,overview,2021-01-17,38169
K02000001,United Kingdom,overview,2021-01-16,37715
K02000001,United Kingdom,overview,2021-01-15,38132
K02000001,United Kingdom,overview,2021-01-14,37691
K02000001,United Kingdom,overview,2021-01-13,37487
K02000001,United Kingdom,overview,2021-01-12,36981
K02000001,United Kingdom,overview,2021-01-11,36751
K02000001,United Kingdom,overview,2021-01-10,35391
K02000001,United Kingdom,overview,2021-01-09,34032
K02000001,United Kingdom,overview,2021-01-08,33778
K02000001,United Kingdom,overview,2021-01-07,32583
K02000001,United Kingdom,overview,2021-01-06,31946
K02000001,United Kingdom,overview,2021-01-05,30686
K02000001,United Kingdom,overview,2021-01-04,30775
K02000001,United Kingdom,overview,2021-01-03,29033
K02000001,United Kingdom,overview,2021-01-02,27561
K02000001,United Kingdom,overview,2021-01-01,26389
K02000001,United Kingdom,overview,2020-12-31,26578
K02000001,United Kingdom,overview,2020-12-30,26551
K02000001,United Kingdom,overview,2020-12-29,25549
K02000001,United Kingdom,overview,2020-12-28,24049
K02000001,United Kingdom,overview,2020-12-27,22764
K02000001,United Kingdom,overview,2020-12-26,21730
K02000001,United Kingdom,overview,2020-12-25,20918
K02000001,United Kingdom,overview,2020-12-24,21577
K02000001,United Kingdom,overview,2020-12-23,21222
K02000001,United Kingdom,overview,2020-12-22,21488
K02000001,United Kingdom,overview,2020-12-21,21133
K02000001,United Kingdom,overview,2020-12-20,20004
K02000001,United Kingdom,overview,2020-12-19,19463
K02000001,United Kingdom,overview,2020-12-18,19117
K02000001,United Kingdom,overview,2020-12-17,18970
K02000001,United Kingdom,overview,2020-12-16,18671
K02000001,United Kingdom,overview,2020-12-15,18216
K02000001,United Kingdom,overview,2020-12-14,18246
K02000001,United Kingdom,overview,2020-12-13,17538
K02000001,United Kingdom,overview,2020-12-12,16909
K02000001,United Kingdom,overview,2020-12-11,16885
K02000001,United Kingdom,overview,2020-12-10,16723
K02000001,United Kingdom,overview,2020-12-09,16331
K02000001,United Kingdom,overview,2020-12-08,16477
K02000001,United Kingdom,overview,2020-12-07,16415
K02000001,United Kingdom,overview,2020-12-06,15960
K02000001,United Kingdom,overview,2020-12-05,15688
K02000001,United Kingdom,overview,2020-12-04,15727
K02000001,United Kingdom,overview,2020-12-03,15658
K02000001,United Kingdom,overview,2020-12-02,15977
K02000001,United Kingdom,overview,2020-12-01,16312
K02000001,United Kingdom,overview,2020-11-30,16565
K02000001,United Kingdom,overview,2020-11-29,16313
K02000001,United Kingdom,overview,2020-11-28,15985
K02000001,United Kingdom,overview,2020-11-27,16571
K02000001,United Kingdom,overview,2020-11-26,16762
K02000001,United Kingdom,overview,2020-11-25,17132
K02000001,United Kingdom,overview,2020-11-24,17424
K02000001,United Kingdom,overview,2020-11-23,17680
K02000001,United Kingdom,overview,2020-11-22,17264
K02000001,United Kingdom,overview,2020-11-21,17063
K02000001,United Kingdom,overview,2020-11-20,17184
K02000001,United Kingdom,overview,2020-11-19,17459
K02000001,United Kingdom,overview,2020-11-18,17486
K02000001,United Kingdom,overview,2020-11-17,17439
K02000001,United Kingdom,overview,2020-11-16,17313
K02000001,United Kingdom,overview,2020-11-15,16864
K02000001,United Kingdom,overview,2020-11-14,16299
K02000001,United Kingdom,overview,2020-11-13,16236
K02000001,United Kingdom,overview,2020-11-12,15879
K02000001,United Kingdom,overview,2020-11-11,15666
K02000001,United Kingdom,overview,2020-11-10,14964
K02000001,United Kingdom,overview,2020-11-09,15141
K02000001,United Kingdom,overview,2020-11-08,14546
K02000001,United Kingdom,overview,2020-11-07,14314
K02000001,United Kingdom,overview,2020-11-06,13958
K02000001,United Kingdom,overview,2020-11-05,13796
K02000001,United Kingdom,overview,2020-11-04,13817
K02000001,United Kingdom,overview,2020-11-03,13749
K02000001,United Kingdom,overview,2020-11-02,13105
K02000001,United Kingdom,overview,2020-11-01,12230
K02000001,United Kingdom,overview,2020-10-31,12310
K02000001,United Kingdom,overview,2020-10-30,11788
K02000001,United Kingdom,overview,2020-10-29,11583
K02000001,United Kingdom,overview,2020-10-28,11434
K02000001,United Kingdom,overview,2020-10-27,10938
K02000001,United Kingdom,overview,2020-10-26,10108
K02000001,United Kingdom,overview,2020-10-25,9786
K02000001,United Kingdom,overview,2020-10-24,9262
K02000001,United Kingdom,overview,2020-10-23,8886
K02000001,United Kingdom,overview,2020-10-22,8311
K02000001,United Kingdom,overview,2020-10-21,8132
K02000001,United Kingdom,overview,2020-10-20,7852
K02000001,United Kingdom,overview,2020-10-19,7334
K02000001,United Kingdom,overview,2020-10-18,6829
K02000001,United Kingdom,overview,2020-10-17,6545
K02000001,United Kingdom,overview,2020-10-16,6296
K02000001,United Kingdom,overview,2020-10-15,5933
K02000001,United Kingdom,overview,2020-10-14,5598
K02000001,United Kingdom,overview,2020-10-13,5293
K02000001,United Kingdom,overview,2020-10-12,4959
K02000001,United Kingdom,overview,2020-10-11,4670
