areaCode,areaName,areaType,date,newPillarOneTestsByPublishDate
K02000001,United Kingdom,overview,2020-12-04,84819
K02000001,United Kingdom,overview,2020-12-03,87529
K02000001,United Kingdom,overview,2020-12-02,92946
K02000001,United Kingdom,overview,2020-12-01,88113
K02000001,United Kingdom,overview,2020-11-30,66275
K02000001,United Kingdom,overview,2020-11-29,60243
K02000001,United Kingdom,overview,2020-11-28,73096
K02000001,United Kingdom,overview,2020-11-27,83971
K02000001,United Kingdom,overview,2020-11-26,86178
K02000001,United Kingdom,overview,2020-11-25,90440
K02000001,United Kingdom,overview,2020-11-24,94663
K02000001,United Kingdom,overview,2020-11-23,68486
K02000001,United Kingdom,overview,2020-11-22,60607
K02000001,United Kingdom,overview,2020-11-21,79718
K02000001,United Kingdom,overview,2020-11-20,79868
K02000001,United Kingdom,overview,2020-11-19,89859
K02000001,United Kingdom,overview,2020-11-18,92530
K02000001,United Kingdom,overview,2020-11-17,87362
K02000001,United Kingdom,overview,2020-11-16,68340
K02000001,United Kingdom,overview,2020-11-15,62837
K02000001,United Kingdom,overview,2020-11-14,76044
K02000001,United Kingdom,overview,2020-11-13,85762
K02000001,United Kingdom,overview,2020-11-12,88945
K02000001,United Kingdom,overview,2020-11-11,89693
K02000001,United Kingdom,overview,2020-11-10,88116
K02000001,United Kingdom,overview,2020-11-09,68317
K02000001,United Kingdom,overview,2020-11-08,63578
K02000001,United Kingdom,overview,2020-11-07,71369
K02000001,United Kingdom,overview,2020-11-06,82883
K02000001,United Kingdom,overview,2020-11-05,80051
K02000001,United Kingdom,overview,2020-11-04,89630
K02000001,United Kingdom,overview,2020-11-03,75197
K02000001,United Kingdom,overview,2020-11-02,66290
K02000001,United Kingdom,overview,2020-11-01,57972
K02000001,United Kingdom,overview,2020-10-31,73983
K02000001,United Kingdom,overview,2020-10-30,76479
K02000001,United Kingdom,overview,2020-10-29,74031
K02000001,United Kingdom,overview,2020-10-28,81764
K02000001,United Kingdom,overview,2020-10-27,80017
K02000001,United Kingdom,overview,2020-10-26,63458
K02000001,United Kingdom,overview,2020-10-25,60363
K02000001,United Kingdom,overview,2020-10-24,71743
K02000001,United Kingdom,overview,2020-10-23,82458
K02000001,United Kingdom,overview,2020-10-22,81879
K02000001,United Kingdom,overview,2020-10-21,84279
K02000001,United Kingdom,overview,2020-10-20,77740
K02000001,United Kingdom,overview,2020-10-19,64568
K02000001,United Kingdom,overview,2020-10-18,57355
K02000001,United Kingdom,overview,2020-10-17,69597
K02000001,United Kingdom,overview,2020-10-16,75060
K02000001,United Kingdom,overview,2020-10-15,79441
K02000001,United Kingdom,overview,2020-10-14,80081
K02000001,United Kingdom,overview,2020-10-13,70587
K02000001,United Kingdom,overview,2020-10-12,57007
K02000001,United Kingdom,overview,2020-10-11,53227
K02000001,United Kingdom,overview,2020-10-10,67243
K02000001,United Kingdom,overview,2020-10-09,74421
K02000001,United Kingdom,overview,2020-10-08,72777
K02000001,United Kingdom,overview,2020-10-07,77676
K02000001,United Kingdom,overview,2020-10-06,76527
K02000001,United Kingdom,overview,2020-10-05,58387
K02000001,United Kingdom,overview,2020-10-04,53982
K02000001,United Kingdom,overview,2020-10-03,63888
K02000001,United Kingdom,overview,2020-10-02,72038
K02000001,United Kingdom,overview,2020-10-01,70429
K02000001,United Kingdom,overview,2020-09-30,77402
K02000001,United Kingdom,overview,2020-09-29,69549
K02000001,United Kingdom,overview,2020-09-28,57960
K02000001,United Kingdom,overview,2020-09-27,56615
K02000001,United Kingdom,overview,2020-09-26,66608
K02000001,United Kingdom,overview,2020-09-25,73080
K02000001,United Kingdom,overview,2020-09-24,73243
K02000001,United Kingdom,overview,2020-09-23,78497
K02000001,United Kingdom,overview,2020-09-22,71959
K02000001,United Kingdom,overview,2020-09-21,58353
K02000001,United Kingdom,overview,2020-09-20,55398
K02000001,United Kingdom,overview,2020-09-19,68993
K02000001,United Kingdom,overview,2020-09-18,79167
K02000001,United Kingdom,overview,2020-09-17,75947
K02000001,United Kingdom,overview,2020-09-16,79465
K02000001,United Kingdom,overview,2020-09-15,72641
K02000001,United Kingdom,overview,2020-09-14,55037
K02000001,United Kingdom,overview,2020-09-13,50178
K02000001,United Kingdom,overview,2020-09-12,62516
K02000001,United Kingdom,overview,2020-09-11,65672
K02000001,United Kingdom,overview,2020-09-10,63735
K02000001,United Kingdom,overview,2020-09-09,72385
K02000001,United Kingdom,overview,2020-09-08,63688
K02000001,United Kingdom,overview,2020-09-07,48888
K02000001,United Kingdom,overview,2020-09-06,43098
K02000001,United Kingdom,overview,2020-09-05,54511
K02000001,United Kingdom,overview,2020-09-04,62040
K02000001,United Kingdom,overview,2020-09-03,58914
K02000001,United Kingdom,overview,2020-09-02,62197
K02000001,United Kingdom,overview,2020-09-01,49760
K02000001,United Kingdom,overview,2020-08-31,39267
K02000001,United Kingdom,overview,2020-08-30,41083
K02000001,United Kingdom,overview,2020-08-29,44361
K02000001,United Kingdom,overview,2020-08-28,53267
K02000001,United Kingdom,overview,2020-08-27,54836
K02000001,United Kingdom,overview,2020-08-26,58643
K02000001,United Kingdom,overview,2020-08-25,59359
K02000001,United Kingdom,overview,2020-08-24,43696
K02000001,United Kingdom,overview,2020-08-23,41150
K02000001,United Kingdom,overview,2020-08-22,49830
K02000001,United Kingdom,overview,2020-08-21,56061
K02000001,United Kingdom,overview,2020-08-20,55361
K02000001,United Kingdom,overview,2020-08-19,59626
K02000001,United Kingdom,overview,2020-08-18,59427
K02000001,United Kingdom,overview,2020-08-17,44720
K02000001,United Kingdom,overview,2020-08-16,42216
K02000001,United Kingdom,overview,2020-08-15,52233
K02000001,United Kingdom,overview,2020-08-14,53832
K02000001,United Kingdom,overview,2020-08-13,54444
K02000001,United Kingdom,overview,2020-08-12,58702
K02000001,United Kingdom,overview,2020-08-11,56755
K02000001,United Kingdom,overview,2020-08-10,44983
K02000001,United Kingdom,overview,2020-08-09,43726
K02000001,United Kingdom,overview,2020-08-08,49344
K02000001,United Kingdom,overview,2020-08-07,54094
K02000001,United Kingdom,overview,2020-08-06,59113
K02000001,United Kingdom,overview,2020-08-05,59374
K02000001,United Kingdom,overview,2020-08-04,56731
K02000001,United Kingdom,overview,2020-08-03,44861
K02000001,United Kingdom,overview,2020-08-02,44562
K02000001,United Kingdom,overview,2020-08-01,46229
K02000001,United Kingdom,overview,2020-07-31,51120
K02000001,United Kingdom,overview,2020-07-30,54365
K02000001,United Kingdom,overview,2020-07-29,55197
K02000001,United Kingdom,overview,2020-07-28,55096
K02000001,United Kingdom,overview,2020-07-27,43402
K02000001,United Kingdom,overview,2020-07-26,40977
K02000001,United Kingdom,overview,2020-07-25,46013
K02000001,United Kingdom,overview,2020-07-24,48482
K02000001,United Kingdom,overview,2020-07-23,51129
K02000001,United Kingdom,overview,2020-07-22,54435
K02000001,United Kingdom,overview,2020-07-21,52480
K02000001,United Kingdom,overview,2020-07-20,43230
K02000001,United Kingdom,overview,2020-07-19,39747
K02000001,United Kingdom,overview,2020-07-18,42558
K02000001,United Kingdom,overview,2020-07-17,49443
K02000001,United Kingdom,overview,2020-07-16,50434
K02000001,United Kingdom,overview,2020-07-15,53790
K02000001,United Kingdom,overview,2020-07-14,53820
K02000001,United Kingdom,overview,2020-07-13,41340
K02000001,United Kingdom,overview,2020-07-12,34930
K02000001,United Kingdom,overview,2020-07-11,46023
K02000001,United Kingdom,overview,2020-07-10,47258
K02000001,United Kingdom,overview,2020-07-09,47426
K02000001,United Kingdom,overview,2020-07-08,51027
K02000001,United Kingdom,overview,2020-07-07,49319
K02000001,United Kingdom,overview,2020-07-06,40321
K02000001,United Kingdom,overview,2020-07-05,37602
K02000001,United Kingdom,overview,2020-07-04,40466
K02000001,United Kingdom,overview,2020-07-03,46818
