areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,2020-07-18,137
K02000001,United Kingdom,overview,2020-07-17,143
K02000001,United Kingdom,overview,2020-07-16,142
K02000001,United Kingdom,overview,2020-07-15,153
K02000001,United Kingdom,overview,2020-07-14,145
K02000001,United Kingdom,overview,2020-07-13,162
K02000001,United Kingdom,overview,2020-07-12,159
K02000001,United Kingdom,overview,2020-07-11,168
K02000001,United Kingdom,overview,2020-07-10,191
K02000001,United Kingdom,overview,2020-07-09,188
K02000001,United Kingdom,overview,2020-07-08,185
K02000001,United Kingdom,overview,2020-07-07,197
K02000001,United Kingdom,overview,2020-07-06,209
K02000001,United Kingdom,overview,2020-07-05,217
K02000001,United Kingdom,overview,2020-07-04,221
K02000001,United Kingdom,overview,2020-07-03,231
K02000001,United Kingdom,overview,2020-07-02,239
K02000001,United Kingdom,overview,2020-07-01,259
K02000001,United Kingdom,overview,2020-06-30,279
K02000001,United Kingdom,overview,2020-06-29,262
K02000001,United Kingdom,overview,2020-06-28,270
K02000001,United Kingdom,overview,2020-06-27,270
K02000001,United Kingdom,overview,2020-06-26,268
K02000001,United Kingdom,overview,2020-06-25,276
K02000001,United Kingdom,overview,2020-06-24,316
K02000001,United Kingdom,overview,2020-06-23,311
K02000001,United Kingdom,overview,2020-06-22,340
K02000001,United Kingdom,overview,2020-06-21,310
K02000001,United Kingdom,overview,2020-06-20,346
K02000001,United Kingdom,overview,2020-06-19,330
K02000001,United Kingdom,overview,2020-06-18,352
K02000001,United Kingdom,overview,2020-06-17,357
K02000001,United Kingdom,overview,2020-06-16,378
K02000001,United Kingdom,overview,2020-06-15,385
K02000001,United Kingdom,overview,2020-06-14,393
K02000001,United Kingdom,overview,2020-06-13,390
K02000001,United Kingdom,overview,2020-06-12,393
K02000001,United Kingdom,overview,2020-06-11,390
K02000001,United Kingdom,overview,2020-06-10,439
K02000001,United Kingdom,overview,2020-06-09,491
K02000001,United Kingdom,overview,2020-06-08,509
K02000001,United Kingdom,overview,2020-06-07,515
K02000001,United Kingdom,overview,2020-06-06,540
K02000001,United Kingdom,overview,2020-06-05,554
K02000001,United Kingdom,overview,2020-06-04,571
K02000001,United Kingdom,overview,2020-06-03,602
K02000001,United Kingdom,overview,2020-06-02,636
K02000001,United Kingdom,overview,2020-06-01,652
K02000001,United Kingdom,overview,2020-05-31,679
K02000001,United Kingdom,overview,2020-05-30,704
K02000001,United Kingdom,overview,2020-05-29,719
K02000001,United Kingdom,overview,2020-05-28,751
K02000001,United Kingdom,overview,2020-05-27,783
K02000001,United Kingdom,overview,2020-05-26,847
K02000001,United Kingdom,overview,2020-05-25,863
K02000001,United Kingdom,overview,2020-05-24,886
K02000001,United Kingdom,overview,2020-05-23,928
K02000001,United Kingdom,overview,2020-05-22,964
K02000001,United Kingdom,overview,2020-05-21,1008
K02000001,United Kingdom,overview,2020-05-20,1034
K02000001,United Kingdom,overview,2020-05-19,1106
K02000001,United Kingdom,overview,2020-05-18,1141
K02000001,United Kingdom,overview,2020-05-17,1196
K02000001,United Kingdom,overview,2020-05-16,1234
K02000001,United Kingdom,overview,2020-05-15,1337
K02000001,United Kingdom,overview,2020-05-14,1314
K02000001,United Kingdom,overview,2020-05-13,1342
K02000001,United Kingdom,overview,2020-05-12,1414
K02000001,United Kingdom,overview,2020-05-11,1485
K02000001,United Kingdom,overview,2020-05-10,1538
K02000001,United Kingdom,overview,2020-05-09,1585
K02000001,United Kingdom,overview,2020-05-08,1642
K02000001,United Kingdom,overview,2020-05-07,1685
K02000001,United Kingdom,overview,2020-05-06,1802
K02000001,United Kingdom,overview,2020-05-05,1874
K02000001,United Kingdom,overview,2020-05-04,1936
K02000001,United Kingdom,overview,2020-05-03,2009
K02000001,United Kingdom,overview,2020-05-02,2068
K02000001,United Kingdom,overview,2020-05-01,2178
K02000001,United Kingdom,overview,2020-04-30,2224
K02000001,United Kingdom,overview,2020-04-29,2286
K02000001,United Kingdom,overview,2020-04-28,2353
K02000001,United Kingdom,overview,2020-04-27,2460
K02000001,United Kingdom,overview,2020-04-26,2580
K02000001,United Kingdom,overview,2020-04-25,2702
K02000001,United Kingdom,overview,2020-04-24,2703
K02000001,United Kingdom,overview,2020-04-23,2867
K02000001,United Kingdom,overview,2020-04-22,2964
K02000001,United Kingdom,overview,2020-04-21,3036
K02000001,United Kingdom,overview,2020-04-20,3130
K02000001,United Kingdom,overview,2020-04-19,3176
K02000001,United Kingdom,overview,2020-04-18,3247
K02000001,United Kingdom,overview,2020-04-17,3162
K02000001,United Kingdom,overview,2020-04-16,3222
K02000001,United Kingdom,overview,2020-04-15,3228
K02000001,United Kingdom,overview,2020-04-14,3234
K02000001,United Kingdom,overview,2020-04-13,3277
K02000001,United Kingdom,overview,2020-04-12,3301
K02000001,United Kingdom,overview,2020-04-11,3274
K02000001,United Kingdom,overview,2020-04-10,3228
K02000001,United Kingdom,overview,2020-04-09,2963
K02000001,United Kingdom,overview,2020-04-08,2967
K02000001,United Kingdom,overview,2020-04-07,2864
K02000001,United Kingdom,overview,2020-04-06,2644
K02000001,United Kingdom,overview,2020-04-05,2469
K02000001,United Kingdom,overview,2020-04-04,2309
K02000001,United Kingdom,overview,2020-04-03,2120
K02000001,United Kingdom,overview,2020-04-02,1813
