areaCode,areaName,areaType,date,newTestsByPublishDate
K02000001,United Kingdom,overview,2021-01-20,645050
K02000001,United Kingdom,overview,2021-01-19,582938
K02000001,United Kingdom,overview,2021-01-18,559939
K02000001,United Kingdom,overview,2021-01-17,417965
K02000001,United Kingdom,overview,2021-01-16,492574
K02000001,United Kingdom,overview,2021-01-15,600853
K02000001,United Kingdom,overview,2021-01-14,699379
K02000001,United Kingdom,overview,2021-01-13,632467
K02000001,United Kingdom,overview,2021-01-12,588144
K02000001,United Kingdom,overview,2021-01-11,538869
K02000001,United Kingdom,overview,2021-01-10,486449
K02000001,United Kingdom,overview,2021-01-09,568248
K02000001,United Kingdom,overview,2021-01-08,682793
K02000001,United Kingdom,overview,2021-01-07,623787
K02000001,United Kingdom,overview,2021-01-06,561217
K02000001,United Kingdom,overview,2021-01-05,501324
K02000001,United Kingdom,overview,2021-01-04,466600
K02000001,United Kingdom,overview,2021-01-03,429488
K02000001,United Kingdom,overview,2021-01-02,412073
K02000001,United Kingdom,overview,2021-01-01,423400
K02000001,United Kingdom,overview,2020-12-31,485537
K02000001,United Kingdom,overview,2020-12-30,423582
K02000001,United Kingdom,overview,2020-12-29,347445
K02000001,United Kingdom,overview,2020-12-28,357880
K02000001,United Kingdom,overview,2020-12-27,353290
K02000001,United Kingdom,overview,2020-12-26,270611
K02000001,United Kingdom,overview,2020-12-25,339612
K02000001,United Kingdom,overview,2020-12-24,466273
K02000001,United Kingdom,overview,2020-12-23,512858
K02000001,United Kingdom,overview,2020-12-22,456252
K02000001,United Kingdom,overview,2020-12-21,426132
K02000001,United Kingdom,overview,2020-12-20,433950
K02000001,United Kingdom,overview,2020-12-19,442246
K02000001,United Kingdom,overview,2020-12-18,394152
K02000001,United Kingdom,overview,2020-12-17,378279
K02000001,United Kingdom,overview,2020-12-16,368542
K02000001,United Kingdom,overview,2020-12-15,307039
K02000001,United Kingdom,overview,2020-12-14,277944
K02000001,United Kingdom,overview,2020-12-13,312638
K02000001,United Kingdom,overview,2020-12-12,359457
K02000001,United Kingdom,overview,2020-12-11,395510
K02000001,United Kingdom,overview,2020-12-10,404236
K02000001,United Kingdom,overview,2020-12-09,372446
K02000001,United Kingdom,overview,2020-12-08,297220
K02000001,United Kingdom,overview,2020-12-07,218055
K02000001,United Kingdom,overview,2020-12-06,273122
K02000001,United Kingdom,overview,2020-12-05,356216
K02000001,United Kingdom,overview,2020-12-04,385114
K02000001,United Kingdom,overview,2020-12-03,393216
K02000001,United Kingdom,overview,2020-12-02,356518
K02000001,United Kingdom,overview,2020-12-01,314921
K02000001,United Kingdom,overview,2020-11-30,216509
K02000001,United Kingdom,overview,2020-11-29,220377
K02000001,United Kingdom,overview,2020-11-28,311855
K02000001,United Kingdom,overview,2020-11-27,337481
K02000001,United Kingdom,overview,2020-11-26,387945
K02000001,United Kingdom,overview,2020-11-25,359597
K02000001,United Kingdom,overview,2020-11-24,314800
K02000001,United Kingdom,overview,2020-11-23,214920
K02000001,United Kingdom,overview,2020-11-22,279458
K02000001,United Kingdom,overview,2020-11-21,369943
K02000001,United Kingdom,overview,2020-11-20,395881
K02000001,United Kingdom,overview,2020-11-19,399929
K02000001,United Kingdom,overview,2020-11-18,367626
K02000001,United Kingdom,overview,2020-11-17,286546
K02000001,United Kingdom,overview,2020-11-16,236629
K02000001,United Kingdom,overview,2020-11-15,284662
K02000001,United Kingdom,overview,2020-11-14,344679
K02000001,United Kingdom,overview,2020-11-13,385916
K02000001,United Kingdom,overview,2020-11-12,383999
K02000001,United Kingdom,overview,2020-11-11,381643
K02000001,United Kingdom,overview,2020-11-10,310141
K02000001,United Kingdom,overview,2020-11-09,250291
K02000001,United Kingdom,overview,2020-11-08,286364
K02000001,United Kingdom,overview,2020-11-07,332529
K02000001,United Kingdom,overview,2020-11-06,362649
K02000001,United Kingdom,overview,2020-11-05,355551
K02000001,United Kingdom,overview,2020-11-04,308672
K02000001,United Kingdom,overview,2020-11-03,275486
K02000001,United Kingdom,overview,2020-11-02,219321
K02000001,United Kingdom,overview,2020-11-01,283009
K02000001,United Kingdom,overview,2020-10-31,308232
K02000001,United Kingdom,overview,2020-10-30,330237
K02000001,United Kingdom,overview,2020-10-29,378085
K02000001,United Kingdom,overview,2020-10-28,343822
K02000001,United Kingdom,overview,2020-10-27,311135
K02000001,United Kingdom,overview,2020-10-26,264350
K02000001,United Kingdom,overview,2020-10-25,321736
K02000001,United Kingdom,overview,2020-10-24,319359
K02000001,United Kingdom,overview,2020-10-23,351736
K02000001,United Kingdom,overview,2020-10-22,343912
K02000001,United Kingdom,overview,2020-10-21,314861
K02000001,United Kingdom,overview,2020-10-20,283882
K02000001,United Kingdom,overview,2020-10-19,263530
K02000001,United Kingdom,overview,2020-10-18,307388
K02000001,United Kingdom,overview,2020-10-17,309642
K02000001,United Kingdom,overview,2020-10-16,318256
K02000001,United Kingdom,overview,2020-10-15,308856
K02000001,United Kingdom,overview,2020-10-14,300523
K02000001,United Kingdom,overview,2020-10-13,268142
K02000001,United Kingdom,overview,2020-10-12,222047
K02000001,United Kingdom,overview,2020-10-11,259478
K02000001,United Kingdom,overview,2020-10-10,281976
K02000001,United Kingdom,overview,2020-10-09,302820
K02000001,United Kingdom,overview,2020-10-08,290104
K02000001,United Kingdom,overview,2020-10-07,259544
K02000001,United Kingdom,overview,2020-10-06,265809
K02000001,United Kingdom,overview,2020-10-05,276603
K02000001,United Kingdom,overview,2020-10-04,251623
K02000001,United Kingdom,overview,2020-10-03,288746
K02000001,United Kingdom,overview,2020-10-02,276740
K02000001,United Kingdom,overview,2020-10-01,271552
K02000001,United Kingdom,overview,2020-09-30,261798
K02000001,United Kingdom,overview,2020-09-29,237300
K02000001,United Kingdom,overview,2020-09-28,231923
K02000001,United Kingdom,overview,2020-09-27,267438
K02000001,United Kingdom,overview,2020-09-26,260297
K02000001,United Kingdom,overview,2020-09-25,298718
K02000001,United Kingdom,overview,2020-09-24,274768
K02000001,United Kingdom,overview,2020-09-23,269428
K02000001,United Kingdom,overview,2020-09-22,246359
K02000001,United Kingdom,overview,2020-09-21,218059
K02000001,United Kingdom,overview,2020-09-20,247099
K02000001,United Kingdom,overview,2020-09-19,265697
K02000001,United Kingdom,overview,2020-09-18,289911
K02000001,United Kingdom,overview,2020-09-17,267294
K02000001,United Kingdom,overview,2020-09-16,285296
K02000001,United Kingdom,overview,2020-09-15,288822
K02000001,United Kingdom,overview,2020-09-14,221192
K02000001,United Kingdom,overview,2020-09-13,227075
K02000001,United Kingdom,overview,2020-09-12,231969
K02000001,United Kingdom,overview,2020-09-11,250839
K02000001,United Kingdom,overview,2020-09-10,240312
K02000001,United Kingdom,overview,2020-09-09,227465
K02000001,United Kingdom,overview,2020-09-08,209609
K02000001,United Kingdom,overview,2020-09-07,195692
K02000001,United Kingdom,overview,2020-09-06,189974
K02000001,United Kingdom,overview,2020-09-05,191588
K02000001,United Kingdom,overview,2020-09-04,210463
K02000001,United Kingdom,overview,2020-09-03,206883
K02000001,United Kingdom,overview,2020-09-02,203221
K02000001,United Kingdom,overview,2020-09-01,175687
K02000001,United Kingdom,overview,2020-08-31,181934
K02000001,United Kingdom,overview,2020-08-30,182065
K02000001,United Kingdom,overview,2020-08-29,183510
K02000001,United Kingdom,overview,2020-08-28,197211
K02000001,United Kingdom,overview,2020-08-27,203416
K02000001,United Kingdom,overview,2020-08-26,208835
K02000001,United Kingdom,overview,2020-08-25,186500
K02000001,United Kingdom,overview,2020-08-24,153393
K02000001,United Kingdom,overview,2020-08-23,175209
K02000001,United Kingdom,overview,2020-08-22,181455
K02000001,United Kingdom,overview,2020-08-21,191360
K02000001,United Kingdom,overview,2020-08-20,183933
K02000001,United Kingdom,overview,2020-08-19,190434
K02000001,United Kingdom,overview,2020-08-18,163010
K02000001,United Kingdom,overview,2020-08-17,150174
K02000001,United Kingdom,overview,2020-08-16,169276
K02000001,United Kingdom,overview,2020-08-15,182987
K02000001,United Kingdom,overview,2020-08-14,177957
K02000001,United Kingdom,overview,2020-08-13,169857
K02000001,United Kingdom,overview,2020-08-12,184444
K02000001,United Kingdom,overview,2020-08-11,166311
K02000001,United Kingdom,overview,2020-08-10,164061
K02000001,United Kingdom,overview,2020-08-09,166207
K02000001,United Kingdom,overview,2020-08-08,165176
K02000001,United Kingdom,overview,2020-08-07,181864
K02000001,United Kingdom,overview,2020-08-06,185980
K02000001,United Kingdom,overview,2020-08-05,174519
K02000001,United Kingdom,overview,2020-08-04,163422
K02000001,United Kingdom,overview,2020-08-03,158666
K02000001,United Kingdom,overview,2020-08-02,163786
K02000001,United Kingdom,overview,2020-08-01,162088
K02000001,United Kingdom,overview,2020-07-31,190220
K02000001,United Kingdom,overview,2020-07-30,206656
K02000001,United Kingdom,overview,2020-07-29,165480
K02000001,United Kingdom,overview,2020-07-28,154946
K02000001,United Kingdom,overview,2020-07-27,99090
K02000001,United Kingdom,overview,2020-07-26,113424
K02000001,United Kingdom,overview,2020-07-25,142954
K02000001,United Kingdom,overview,2020-07-24,157229
K02000001,United Kingdom,overview,2020-07-23,152133
K02000001,United Kingdom,overview,2020-07-22,147595
K02000001,United Kingdom,overview,2020-07-21,142559
K02000001,United Kingdom,overview,2020-07-20,101741
K02000001,United Kingdom,overview,2020-07-19,120968
K02000001,United Kingdom,overview,2020-07-18,140393
K02000001,United Kingdom,overview,2020-07-17,177625
K02000001,United Kingdom,overview,2020-07-16,165966
K02000001,United Kingdom,overview,2020-07-15,152063
K02000001,United Kingdom,overview,2020-07-14,132121
K02000001,United Kingdom,overview,2020-07-13,97403
K02000001,United Kingdom,overview,2020-07-12,101927
K02000001,United Kingdom,overview,2020-07-11,134890
K02000001,United Kingdom,overview,2020-07-10,154864
K02000001,United Kingdom,overview,2020-07-09,161796
K02000001,United Kingdom,overview,2020-07-08,153092
K02000001,United Kingdom,overview,2020-07-07,126238
K02000001,United Kingdom,overview,2020-07-06,94284
K02000001,United Kingdom,overview,2020-07-05,97315
K02000001,United Kingdom,overview,2020-07-04,126100
K02000001,United Kingdom,overview,2020-07-03,172566
K02000001,United Kingdom,overview,2020-07-02,169259
K02000001,United Kingdom,overview,2020-07-01,157131
K02000001,United Kingdom,overview,2020-06-30,144787
K02000001,United Kingdom,overview,2020-06-29,105384
K02000001,United Kingdom,overview,2020-06-28,90229
K02000001,United Kingdom,overview,2020-06-27,117741
K02000001,United Kingdom,overview,2020-06-26,144928
K02000001,United Kingdom,overview,2020-06-25,155176
K02000001,United Kingdom,overview,2020-06-24,140303
K02000001,United Kingdom,overview,2020-06-23,130680
K02000001,United Kingdom,overview,2020-06-22,102957
K02000001,United Kingdom,overview,2020-06-21,76514
K02000001,United Kingdom,overview,2020-06-20,117971
K02000001,United Kingdom,overview,2020-06-19,133535
K02000001,United Kingdom,overview,2020-06-18,135854
K02000001,United Kingdom,overview,2020-06-17,131631
K02000001,United Kingdom,overview,2020-06-16,122435
K02000001,United Kingdom,overview,2020-06-15,101337
K02000001,United Kingdom,overview,2020-06-14,83965
K02000001,United Kingdom,overview,2020-06-13,120409
K02000001,United Kingdom,overview,2020-06-12,147099
K02000001,United Kingdom,overview,2020-06-11,149344
K02000001,United Kingdom,overview,2020-06-10,145509
K02000001,United Kingdom,overview,2020-06-09,133102
K02000001,United Kingdom,overview,2020-06-08,98445
K02000001,United Kingdom,overview,2020-06-07,104122
K02000001,United Kingdom,overview,2020-06-06,117581
K02000001,United Kingdom,overview,2020-06-05,145009
K02000001,United Kingdom,overview,2020-06-04,144224
K02000001,United Kingdom,overview,2020-06-03,143443
K02000001,United Kingdom,overview,2020-06-02,129183
K02000001,United Kingdom,overview,2020-06-01,101571
K02000001,United Kingdom,overview,2020-05-31,105434
K02000001,United Kingdom,overview,2020-05-30,97387
K02000001,United Kingdom,overview,2020-05-29,106552
K02000001,United Kingdom,overview,2020-05-28,102734
K02000001,United Kingdom,overview,2020-05-27,83014
