areaCode,areaName,areaType,date,capacityPillarThree
K02000001,United Kingdom,overview,2020-10-29,120000
K02000001,United Kingdom,overview,2020-10-28,120000
K02000001,United Kingdom,overview,2020-10-27,120000
K02000001,United Kingdom,overview,2020-10-26,120000
K02000001,United Kingdom,overview,2020-10-25,120000
K02000001,United Kingdom,overview,2020-10-24,120000
K02000001,United Kingdom,overview,2020-10-23,120000
K02000001,United Kingdom,overview,2020-10-22,120000
K02000001,United Kingdom,overview,2020-10-21,120000
K02000001,United Kingdom,overview,2020-10-20,120000
K02000001,United Kingdom,overview,2020-10-19,120000
K02000001,United Kingdom,overview,2020-10-18,120000
K02000001,United Kingdom,overview,2020-10-17,120000
K02000001,United Kingdom,overview,2020-10-16,120000
K02000001,United Kingdom,overview,2020-10-15,120000
K02000001,United Kingdom,overview,2020-10-14,120000
K02000001,United Kingdom,overview,2020-10-13,120000
K02000001,United Kingdom,overview,2020-10-12,120000
K02000001,United Kingdom,overview,2020-10-11,120000
K02000001,United Kingdom,overview,2020-10-10,120000
K02000001,United Kingdom,overview,2020-10-09,120000
K02000001,United Kingdom,overview,2020-10-08,120000
K02000001,United Kingdom,overview,2020-10-07,120000
K02000001,United Kingdom,overview,2020-10-06,120000
K02000001,United Kingdom,overview,2020-10-05,120000
K02000001,United Kingdom,overview,2020-10-04,120000
K02000001,United Kingdom,overview,2020-10-03,120000
K02000001,United Kingdom,overview,2020-10-02,120000
K02000001,United Kingdom,overview,2020-10-01,120000
K02000001,United Kingdom,overview,2020-09-30,120000
K02000001,United Kingdom,overview,2020-09-29,120000
K02000001,United Kingdom,overview,2020-09-28,120000
K02000001,United Kingdom,overview,2020-09-27,120000
K02000001,United Kingdom,overview,2020-09-26,120000
K02000001,United Kingdom,overview,2020-09-25,120000
K02000001,United Kingdom,overview,2020-09-24,120000
K02000001,United Kingdom,overview,2020-09-23,120000
K02000001,United Kingdom,overview,2020-09-22,120000
K02000001,United Kingdom,overview,2020-09-21,120000
K02000001,United Kingdom,overview,2020-09-20,120000
K02000001,United Kingdom,overview,2020-09-19,120000
K02000001,United Kingdom,overview,2020-09-18,120000
K02000001,United Kingdom,overview,2020-09-17,120000
K02000001,United Kingdom,overview,2020-09-16,120000
K02000001,United Kingdom,overview,2020-09-15,120000
K02000001,United Kingdom,overview,2020-09-14,120000
K02000001,United Kingdom,overview,2020-09-13,120000
K02000001,United Kingdom,overview,2020-09-12,120000
K02000001,United Kingdom,overview,2020-09-11,120000
K02000001,United Kingdom,overview,2020-09-10,120000
K02000001,United Kingdom,overview,2020-09-09,120000
K02000001,United Kingdom,overview,2020-09-08,120000
K02000001,United Kingdom,overview,2020-09-07,120000
K02000001,United Kingdom,overview,2020-09-06,120000
K02000001,United Kingdom,overview,2020-09-05,120000
K02000001,United Kingdom,overview,2020-09-04,120000
K02000001,United Kingdom,overview,2020-09-03,120000
K02000001,United Kingdom,overview,2020-09-02,120000
K02000001,United Kingdom,overview,2020-09-01,120000
K02000001,United Kingdom,overview,2020-08-31,120000
K02000001,United Kingdom,overview,2020-08-30,120000
K02000001,United Kingdom,overview,2020-08-29,120000
K02000001,United Kingdom,overview,2020-08-28,120000
K02000001,United Kingdom,overview,2020-08-27,120000
K02000001,United Kingdom,overview,2020-08-26,120000
K02000001,United Kingdom,overview,2020-08-25,120000
K02000001,United Kingdom,overview,2020-08-24,120000
K02000001,United Kingdom,overview,2020-08-23,120000
K02000001,United Kingdom,overview,2020-08-22,120000
K02000001,United Kingdom,overview,2020-08-21,120000
K02000001,United Kingdom,overview,2020-08-20,120000
K02000001,United Kingdom,overview,2020-08-19,120000
K02000001,United Kingdom,overview,2020-08-18,120000
K02000001,United Kingdom,overview,2020-08-17,120000
K02000001,United Kingdom,overview,2020-08-16,120000
K02000001,United Kingdom,overview,2020-08-15,120000
K02000001,United Kingdom,overview,2020-08-14,120000
K02000001,United Kingdom,overview,2020-08-13,120000
K02000001,United Kingdom,overview,2020-08-12,120000
K02000001,United Kingdom,overview,2020-08-11,120000
K02000001,United Kingdom,overview,2020-08-10,120000
K02000001,United Kingdom,overview,2020-08-09,120000
K02000001,United Kingdom,overview,2020-08-08,120000
K02000001,United Kingdom,overview,2020-08-07,120000
K02000001,United Kingdom,overview,2020-08-06,120000
K02000001,United Kingdom,overview,2020-08-05,120000
K02000001,United Kingdom,overview,2020-08-04,120000
K02000001,United Kingdom,overview,2020-08-03,120000
K02000001,United Kingdom,overview,2020-08-02,120000
K02000001,United Kingdom,overview,2020-08-01,120000
K02000001,United Kingdom,overview,2020-07-31,120000
K02000001,United Kingdom,overview,2020-07-30,120000
K02000001,United Kingdom,overview,2020-07-29,120000
K02000001,United Kingdom,overview,2020-07-28,120000
K02000001,United Kingdom,overview,2020-07-27,120000
K02000001,United Kingdom,overview,2020-07-26,120000
K02000001,United Kingdom,overview,2020-07-25,120000
K02000001,United Kingdom,overview,2020-07-24,120000
K02000001,United Kingdom,overview,2020-07-23,120000
K02000001,United Kingdom,overview,2020-07-22,120000
K02000001,United Kingdom,overview,2020-07-21,120000
K02000001,United Kingdom,overview,2020-07-20,120000
K02000001,United Kingdom,overview,2020-07-19,120000
K02000001,United Kingdom,overview,2020-07-18,120000
K02000001,United Kingdom,overview,2020-07-17,120000
K02000001,United Kingdom,overview,2020-07-16,120000
K02000001,United Kingdom,overview,2020-07-15,120000
K02000001,United Kingdom,overview,2020-07-14,120000
K02000001,United Kingdom,overview,2020-07-13,120000
K02000001,United Kingdom,overview,2020-07-12,120000
K02000001,United Kingdom,overview,2020-07-11,120000
K02000001,United Kingdom,overview,2020-07-10,120000
K02000001,United Kingdom,overview,2020-07-09,120000
K02000001,United Kingdom,overview,2020-07-08,120000
K02000001,United Kingdom,overview,2020-07-07,120000
K02000001,United Kingdom,overview,2020-07-06,120000
K02000001,United Kingdom,overview,2020-07-05,100000
K02000001,United Kingdom,overview,2020-07-04,100000
K02000001,United Kingdom,overview,2020-07-03,100000
K02000001,United Kingdom,overview,2020-07-02,100000
K02000001,United Kingdom,overview,2020-07-01,100000
K02000001,United Kingdom,overview,2020-06-30,100000
K02000001,United Kingdom,overview,2020-06-29,100000
