areaCode,areaName,areaType,date,plannedAntibodyCapacityByPublishDate
K02000001,United Kingdom,overview,2021-03-01,121100
K02000001,United Kingdom,overview,2021-02-28,121100
K02000001,United Kingdom,overview,2021-02-27,121100
K02000001,United Kingdom,overview,2021-02-26,121100
K02000001,United Kingdom,overview,2021-02-25,121100
K02000001,United Kingdom,overview,2021-02-24,121100
K02000001,United Kingdom,overview,2021-02-23,121100
K02000001,United Kingdom,overview,2021-02-22,121100
K02000001,United Kingdom,overview,2021-02-21,121100
K02000001,United Kingdom,overview,2021-02-20,121100
K02000001,United Kingdom,overview,2021-02-19,121100
K02000001,United Kingdom,overview,2021-02-18,121100
K02000001,United Kingdom,overview,2021-02-17,121100
K02000001,United Kingdom,overview,2021-02-16,121100
K02000001,United Kingdom,overview,2021-02-15,121100
K02000001,United Kingdom,overview,2021-02-14,121100
K02000001,United Kingdom,overview,2021-02-13,121100
K02000001,United Kingdom,overview,2021-02-12,121100
K02000001,United Kingdom,overview,2021-02-11,121100
K02000001,United Kingdom,overview,2021-02-10,121100
K02000001,United Kingdom,overview,2021-02-09,121100
K02000001,United Kingdom,overview,2021-02-08,121100
K02000001,United Kingdom,overview,2021-02-07,121100
K02000001,United Kingdom,overview,2021-02-06,121100
K02000001,United Kingdom,overview,2021-02-05,121100
K02000001,United Kingdom,overview,2021-02-04,121100
K02000001,United Kingdom,overview,2021-02-03,121100
K02000001,United Kingdom,overview,2021-02-02,121100
K02000001,United Kingdom,overview,2021-02-01,121100
K02000001,United Kingdom,overview,2021-01-31,121100
K02000001,United Kingdom,overview,2021-01-30,121100
K02000001,United Kingdom,overview,2021-01-29,121100
K02000001,United Kingdom,overview,2021-01-28,121100
K02000001,United Kingdom,overview,2021-01-27,121100
K02000001,United Kingdom,overview,2021-01-26,121100
K02000001,United Kingdom,overview,2021-01-25,121100
K02000001,United Kingdom,overview,2021-01-24,121100
K02000001,United Kingdom,overview,2021-01-23,121100
K02000001,United Kingdom,overview,2021-01-22,121100
K02000001,United Kingdom,overview,2021-01-21,121100
K02000001,United Kingdom,overview,2021-01-20,121100
K02000001,United Kingdom,overview,2021-01-19,121100
K02000001,United Kingdom,overview,2021-01-18,121100
K02000001,United Kingdom,overview,2021-01-17,121100
K02000001,United Kingdom,overview,2021-01-16,121100
K02000001,United Kingdom,overview,2021-01-15,121100
K02000001,United Kingdom,overview,2021-01-14,121100
K02000001,United Kingdom,overview,2021-01-13,121100
K02000001,United Kingdom,overview,2021-01-12,121100
K02000001,United Kingdom,overview,2021-01-11,121100
K02000001,United Kingdom,overview,2021-01-10,121100
K02000001,United Kingdom,overview,2021-01-09,121100
K02000001,United Kingdom,overview,2021-01-08,121100
K02000001,United Kingdom,overview,2021-01-07,121100
K02000001,United Kingdom,overview,2021-01-06,121100
K02000001,United Kingdom,overview,2021-01-05,121100
K02000001,United Kingdom,overview,2021-01-04,121100
K02000001,United Kingdom,overview,2021-01-03,121100
K02000001,United Kingdom,overview,2021-01-02,121100
K02000001,United Kingdom,overview,2021-01-01,121100
K02000001,United Kingdom,overview,2020-12-31,121100
K02000001,United Kingdom,overview,2020-12-30,121100
K02000001,United Kingdom,overview,2020-12-29,121100
K02000001,United Kingdom,overview,2020-12-28,121100
K02000001,United Kingdom,overview,2020-12-27,121100
K02000001,United Kingdom,overview,2020-12-26,121100
K02000001,United Kingdom,overview,2020-12-25,121100
K02000001,United Kingdom,overview,2020-12-24,121100
K02000001,United Kingdom,overview,2020-12-23,121100
K02000001,United Kingdom,overview,2020-12-22,121100
K02000001,United Kingdom,overview,2020-12-21,121100
K02000001,United Kingdom,overview,2020-12-20,121100
K02000001,United Kingdom,overview,2020-12-19,121100
K02000001,United Kingdom,overview,2020-12-18,121100
K02000001,United Kingdom,overview,2020-12-17,121100
K02000001,United Kingdom,overview,2020-12-16,121100
K02000001,United Kingdom,overview,2020-12-15,121100
K02000001,United Kingdom,overview,2020-12-14,121100
K02000001,United Kingdom,overview,2020-12-13,121100
K02000001,United Kingdom,overview,2020-12-12,121100
K02000001,United Kingdom,overview,2020-12-11,121100
K02000001,United Kingdom,overview,2020-12-10,121100
K02000001,United Kingdom,overview,2020-12-09,121100
K02000001,United Kingdom,overview,2020-12-08,121100
K02000001,United Kingdom,overview,2020-12-07,121100
K02000001,United Kingdom,overview,2020-12-06,121100
K02000001,United Kingdom,overview,2020-12-05,121100
K02000001,United Kingdom,overview,2020-12-04,121100
K02000001,United Kingdom,overview,2020-12-03,121100
K02000001,United Kingdom,overview,2020-12-02,121100
K02000001,United Kingdom,overview,2020-12-01,121100
K02000001,United Kingdom,overview,2020-11-30,121100
K02000001,United Kingdom,overview,2020-11-29,121100
K02000001,United Kingdom,overview,2020-11-28,121100
K02000001,United Kingdom,overview,2020-11-27,121100
K02000001,United Kingdom,overview,2020-11-26,121100
K02000001,United Kingdom,overview,2020-11-25,121100
K02000001,United Kingdom,overview,2020-11-24,121100
K02000001,United Kingdom,overview,2020-11-23,121100
K02000001,United Kingdom,overview,2020-11-22,121100
K02000001,United Kingdom,overview,2020-11-21,121100
K02000001,United Kingdom,overview,2020-11-20,121100
K02000001,United Kingdom,overview,2020-11-19,121100
K02000001,United Kingdom,overview,2020-11-18,121100
K02000001,United Kingdom,overview,2020-11-17,121100
K02000001,United Kingdom,overview,2020-11-16,121100
K02000001,United Kingdom,overview,2020-11-15,121100
K02000001,United Kingdom,overview,2020-11-14,121100
K02000001,United Kingdom,overview,2020-11-13,121100
K02000001,United Kingdom,overview,2020-11-12,121100
K02000001,United Kingdom,overview,2020-11-11,121100
K02000001,United Kingdom,overview,2020-11-10,121100
K02000001,United Kingdom,overview,2020-11-09,121100
K02000001,United Kingdom,overview,2020-11-08,121100
K02000001,United Kingdom,overview,2020-11-07,121100
K02000001,United Kingdom,overview,2020-11-06,121100
K02000001,United Kingdom,overview,2020-11-05,121100
K02000001,United Kingdom,overview,2020-11-04,121100
K02000001,United Kingdom,overview,2020-11-03,121100
K02000001,United Kingdom,overview,2020-11-02,121100
K02000001,United Kingdom,overview,2020-11-01,121100
K02000001,United Kingdom,overview,2020-10-31,121100
K02000001,United Kingdom,overview,2020-10-30,121100
K02000001,United Kingdom,overview,2020-10-29,121100
K02000001,United Kingdom,overview,2020-10-28,121100
K02000001,United Kingdom,overview,2020-10-27,121100
K02000001,United Kingdom,overview,2020-10-26,121100
K02000001,United Kingdom,overview,2020-10-25,121100
K02000001,United Kingdom,overview,2020-10-24,121100
K02000001,United Kingdom,overview,2020-10-23,121100
K02000001,United Kingdom,overview,2020-10-22,121100
K02000001,United Kingdom,overview,2020-10-21,121100
K02000001,United Kingdom,overview,2020-10-20,121100
K02000001,United Kingdom,overview,2020-10-19,121100
K02000001,United Kingdom,overview,2020-10-18,121100
K02000001,United Kingdom,overview,2020-10-17,121100
K02000001,United Kingdom,overview,2020-10-16,121100
K02000001,United Kingdom,overview,2020-10-15,121100
K02000001,United Kingdom,overview,2020-10-14,121100
K02000001,United Kingdom,overview,2020-10-13,121100
K02000001,United Kingdom,overview,2020-10-12,121100
K02000001,United Kingdom,overview,2020-10-11,121100
K02000001,United Kingdom,overview,2020-10-10,121100
K02000001,United Kingdom,overview,2020-10-09,121100
K02000001,United Kingdom,overview,2020-10-08,121100
K02000001,United Kingdom,overview,2020-10-07,121100
K02000001,United Kingdom,overview,2020-10-06,121100
K02000001,United Kingdom,overview,2020-10-05,121100
K02000001,United Kingdom,overview,2020-10-04,121100
K02000001,United Kingdom,overview,2020-10-03,121100
K02000001,United Kingdom,overview,2020-10-02,121100
K02000001,United Kingdom,overview,2020-10-01,121100
K02000001,United Kingdom,overview,2020-09-30,121100
K02000001,United Kingdom,overview,2020-09-29,121100
K02000001,United Kingdom,overview,2020-09-28,121100
K02000001,United Kingdom,overview,2020-09-27,121100
K02000001,United Kingdom,overview,2020-09-26,121100
K02000001,United Kingdom,overview,2020-09-25,121100
K02000001,United Kingdom,overview,2020-09-24,121100
K02000001,United Kingdom,overview,2020-09-23,121100
K02000001,United Kingdom,overview,2020-09-22,121100
K02000001,United Kingdom,overview,2020-09-21,121100
K02000001,United Kingdom,overview,2020-09-20,121100
K02000001,United Kingdom,overview,2020-09-19,121100
K02000001,United Kingdom,overview,2020-09-18,121100
K02000001,United Kingdom,overview,2020-09-17,121100
K02000001,United Kingdom,overview,2020-09-16,121100
K02000001,United Kingdom,overview,2020-09-15,121100
K02000001,United Kingdom,overview,2020-09-14,131100
K02000001,United Kingdom,overview,2020-09-13,121100
K02000001,United Kingdom,overview,2020-09-12,121100
K02000001,United Kingdom,overview,2020-09-11,121100
K02000001,United Kingdom,overview,2020-09-10,121100
K02000001,United Kingdom,overview,2020-09-09,121100
K02000001,United Kingdom,overview,2020-09-08,121100
K02000001,United Kingdom,overview,2020-09-07,121100
K02000001,United Kingdom,overview,2020-09-06,121100
K02000001,United Kingdom,overview,2020-09-05,121100
K02000001,United Kingdom,overview,2020-09-04,121100
K02000001,United Kingdom,overview,2020-09-03,123600
K02000001,United Kingdom,overview,2020-09-02,123600
K02000001,United Kingdom,overview,2020-09-01,121100
K02000001,United Kingdom,overview,2020-08-31,121100
K02000001,United Kingdom,overview,2020-08-30,121100
K02000001,United Kingdom,overview,2020-08-29,121100
K02000001,United Kingdom,overview,2020-08-28,121100
K02000001,United Kingdom,overview,2020-08-27,123600
K02000001,United Kingdom,overview,2020-08-26,123600
K02000001,United Kingdom,overview,2020-08-25,121100
K02000001,United Kingdom,overview,2020-08-24,121100
K02000001,United Kingdom,overview,2020-08-23,121100
K02000001,United Kingdom,overview,2020-08-22,121100
K02000001,United Kingdom,overview,2020-08-21,121100
K02000001,United Kingdom,overview,2020-08-20,123600
K02000001,United Kingdom,overview,2020-08-19,123600
K02000001,United Kingdom,overview,2020-08-18,121100
K02000001,United Kingdom,overview,2020-08-17,121100
K02000001,United Kingdom,overview,2020-08-16,121100
K02000001,United Kingdom,overview,2020-08-15,121100
K02000001,United Kingdom,overview,2020-08-14,121100
K02000001,United Kingdom,overview,2020-08-13,123600
K02000001,United Kingdom,overview,2020-08-12,123600
K02000001,United Kingdom,overview,2020-08-11,121100
K02000001,United Kingdom,overview,2020-08-10,121100
K02000001,United Kingdom,overview,2020-08-09,121100
K02000001,United Kingdom,overview,2020-08-08,121100
K02000001,United Kingdom,overview,2020-08-07,121100
K02000001,United Kingdom,overview,2020-08-06,123600
K02000001,United Kingdom,overview,2020-08-05,123600
K02000001,United Kingdom,overview,2020-08-04,121100
K02000001,United Kingdom,overview,2020-08-03,121100
K02000001,United Kingdom,overview,2020-08-02,121100
K02000001,United Kingdom,overview,2020-08-01,121100
K02000001,United Kingdom,overview,2020-07-31,121100
K02000001,United Kingdom,overview,2020-07-30,123600
K02000001,United Kingdom,overview,2020-07-29,123600
K02000001,United Kingdom,overview,2020-07-28,121100
K02000001,United Kingdom,overview,2020-07-27,121100
K02000001,United Kingdom,overview,2020-07-26,121100
K02000001,United Kingdom,overview,2020-07-25,121100
K02000001,United Kingdom,overview,2020-07-24,121100
K02000001,United Kingdom,overview,2020-07-23,123600
K02000001,United Kingdom,overview,2020-07-22,123600
K02000001,United Kingdom,overview,2020-07-21,121100
K02000001,United Kingdom,overview,2020-07-20,121100
K02000001,United Kingdom,overview,2020-07-19,121100
K02000001,United Kingdom,overview,2020-07-18,121100
K02000001,United Kingdom,overview,2020-07-17,121100
K02000001,United Kingdom,overview,2020-07-16,123600
K02000001,United Kingdom,overview,2020-07-15,123600
K02000001,United Kingdom,overview,2020-07-14,121100
K02000001,United Kingdom,overview,2020-07-13,121100
K02000001,United Kingdom,overview,2020-07-12,121100
K02000001,United Kingdom,overview,2020-07-11,121380
K02000001,United Kingdom,overview,2020-07-10,121380
K02000001,United Kingdom,overview,2020-07-09,123880
K02000001,United Kingdom,overview,2020-07-08,123880
K02000001,United Kingdom,overview,2020-07-07,121380
K02000001,United Kingdom,overview,2020-07-06,121380
K02000001,United Kingdom,overview,2020-07-05,101380
K02000001,United Kingdom,overview,2020-07-04,101380
K02000001,United Kingdom,overview,2020-07-03,101380
K02000001,United Kingdom,overview,2020-07-02,103880
K02000001,United Kingdom,overview,2020-07-01,103880
K02000001,United Kingdom,overview,2020-06-30,101380
K02000001,United Kingdom,overview,2020-06-29,101380
K02000001,United Kingdom,overview,2020-06-28,81280
K02000001,United Kingdom,overview,2020-06-27,81280
K02000001,United Kingdom,overview,2020-06-26,81280
K02000001,United Kingdom,overview,2020-06-25,81280
K02000001,United Kingdom,overview,2020-06-24,83780
K02000001,United Kingdom,overview,2020-06-23,83780
K02000001,United Kingdom,overview,2020-06-22,81280
