areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-10-27,285
K02000001,United Kingdom,overview,2020-10-26,282
K02000001,United Kingdom,overview,2020-10-25,255
K02000001,United Kingdom,overview,2020-10-24,219
K02000001,United Kingdom,overview,2020-10-23,225
K02000001,United Kingdom,overview,2020-10-22,242
K02000001,United Kingdom,overview,2020-10-21,232
K02000001,United Kingdom,overview,2020-10-20,210
K02000001,United Kingdom,overview,2020-10-19,193
K02000001,United Kingdom,overview,2020-10-18,167
K02000001,United Kingdom,overview,2020-10-17,186
K02000001,United Kingdom,overview,2020-10-16,162
K02000001,United Kingdom,overview,2020-10-15,152
K02000001,United Kingdom,overview,2020-10-14,123
K02000001,United Kingdom,overview,2020-10-13,119
K02000001,United Kingdom,overview,2020-10-12,120
K02000001,United Kingdom,overview,2020-10-11,128
K02000001,United Kingdom,overview,2020-10-10,107
K02000001,United Kingdom,overview,2020-10-09,96
K02000001,United Kingdom,overview,2020-10-08,97
K02000001,United Kingdom,overview,2020-10-07,110
K02000001,United Kingdom,overview,2020-10-06,84
K02000001,United Kingdom,overview,2020-10-05,68
K02000001,United Kingdom,overview,2020-10-04,63
K02000001,United Kingdom,overview,2020-10-03,70
K02000001,United Kingdom,overview,2020-10-02,74
K02000001,United Kingdom,overview,2020-10-01,71
K02000001,United Kingdom,overview,2020-09-30,61
K02000001,United Kingdom,overview,2020-09-29,48
K02000001,United Kingdom,overview,2020-09-28,55
K02000001,United Kingdom,overview,2020-09-27,56
K02000001,United Kingdom,overview,2020-09-26,47
K02000001,United Kingdom,overview,2020-09-25,40
K02000001,United Kingdom,overview,2020-09-24,34
K02000001,United Kingdom,overview,2020-09-23,58
K02000001,United Kingdom,overview,2020-09-22,39
K02000001,United Kingdom,overview,2020-09-21,30
K02000001,United Kingdom,overview,2020-09-20,40
K02000001,United Kingdom,overview,2020-09-19,25
K02000001,United Kingdom,overview,2020-09-18,30
K02000001,United Kingdom,overview,2020-09-17,38
K02000001,United Kingdom,overview,2020-09-16,31
K02000001,United Kingdom,overview,2020-09-15,26
K02000001,United Kingdom,overview,2020-09-14,21
K02000001,United Kingdom,overview,2020-09-13,20
K02000001,United Kingdom,overview,2020-09-12,23
K02000001,United Kingdom,overview,2020-09-11,20
K02000001,United Kingdom,overview,2020-09-10,16
K02000001,United Kingdom,overview,2020-09-09,14
K02000001,United Kingdom,overview,2020-09-08,16
K02000001,United Kingdom,overview,2020-09-07,24
K02000001,United Kingdom,overview,2020-09-06,13
K02000001,United Kingdom,overview,2020-09-05,14
K02000001,United Kingdom,overview,2020-09-04,15
K02000001,United Kingdom,overview,2020-09-03,9
K02000001,United Kingdom,overview,2020-09-02,15
K02000001,United Kingdom,overview,2020-09-01,11
K02000001,United Kingdom,overview,2020-08-31,18
K02000001,United Kingdom,overview,2020-08-30,11
K02000001,United Kingdom,overview,2020-08-29,8
K02000001,United Kingdom,overview,2020-08-28,12
K02000001,United Kingdom,overview,2020-08-27,12
K02000001,United Kingdom,overview,2020-08-26,16
K02000001,United Kingdom,overview,2020-08-25,22
K02000001,United Kingdom,overview,2020-08-24,10
K02000001,United Kingdom,overview,2020-08-23,17
K02000001,United Kingdom,overview,2020-08-22,12
K02000001,United Kingdom,overview,2020-08-21,10
K02000001,United Kingdom,overview,2020-08-20,16
K02000001,United Kingdom,overview,2020-08-19,13
K02000001,United Kingdom,overview,2020-08-18,15
K02000001,United Kingdom,overview,2020-08-17,21
K02000001,United Kingdom,overview,2020-08-16,15
K02000001,United Kingdom,overview,2020-08-15,23
K02000001,United Kingdom,overview,2020-08-14,18
K02000001,United Kingdom,overview,2020-08-13,23
K02000001,United Kingdom,overview,2020-08-12,24
K02000001,United Kingdom,overview,2020-08-11,20
K02000001,United Kingdom,overview,2020-08-10,25
K02000001,United Kingdom,overview,2020-08-09,19
K02000001,United Kingdom,overview,2020-08-08,22
K02000001,United Kingdom,overview,2020-08-07,24
K02000001,United Kingdom,overview,2020-08-06,21
K02000001,United Kingdom,overview,2020-08-05,13
K02000001,United Kingdom,overview,2020-08-04,27
K02000001,United Kingdom,overview,2020-08-03,23
K02000001,United Kingdom,overview,2020-08-02,17
K02000001,United Kingdom,overview,2020-08-01,20
K02000001,United Kingdom,overview,2020-07-31,31
