areaCode,areaName,areaType,date,newVirusTests
K02000001,United Kingdom,overview,2020-12-12,358491
K02000001,United Kingdom,overview,2020-12-11,391531
K02000001,United Kingdom,overview,2020-12-10,400646
K02000001,United Kingdom,overview,2020-12-09,369586
K02000001,United Kingdom,overview,2020-12-08,294966
K02000001,United Kingdom,overview,2020-12-07,215981
K02000001,United Kingdom,overview,2020-12-06,272787
K02000001,United Kingdom,overview,2020-12-05,354799
K02000001,United Kingdom,overview,2020-12-04,380886
K02000001,United Kingdom,overview,2020-12-03,389476
K02000001,United Kingdom,overview,2020-12-02,352990
K02000001,United Kingdom,overview,2020-12-01,312003
K02000001,United Kingdom,overview,2020-11-30,214835
K02000001,United Kingdom,overview,2020-11-29,219899
K02000001,United Kingdom,overview,2020-11-28,311126
K02000001,United Kingdom,overview,2020-11-27,333917
K02000001,United Kingdom,overview,2020-11-26,383521
K02000001,United Kingdom,overview,2020-11-25,356026
K02000001,United Kingdom,overview,2020-11-24,311763
K02000001,United Kingdom,overview,2020-11-23,212533
K02000001,United Kingdom,overview,2020-11-22,279041
K02000001,United Kingdom,overview,2020-11-21,369040
K02000001,United Kingdom,overview,2020-11-20,391667
K02000001,United Kingdom,overview,2020-11-19,395436
K02000001,United Kingdom,overview,2020-11-18,364490
K02000001,United Kingdom,overview,2020-11-17,283358
K02000001,United Kingdom,overview,2020-11-16,234189
K02000001,United Kingdom,overview,2020-11-15,283866
K02000001,United Kingdom,overview,2020-11-14,343784
K02000001,United Kingdom,overview,2020-11-13,382110
K02000001,United Kingdom,overview,2020-11-12,379955
K02000001,United Kingdom,overview,2020-11-11,377608
K02000001,United Kingdom,overview,2020-11-10,304843
K02000001,United Kingdom,overview,2020-11-09,243245
K02000001,United Kingdom,overview,2020-11-08,283397
K02000001,United Kingdom,overview,2020-11-07,329430
K02000001,United Kingdom,overview,2020-11-06,355032
K02000001,United Kingdom,overview,2020-11-05,344159
K02000001,United Kingdom,overview,2020-11-04,301288
K02000001,United Kingdom,overview,2020-11-03,265136
K02000001,United Kingdom,overview,2020-11-02,207831
