areaCode,areaName,areaType,date,newPillarTwoTestsByPublishDate
K02000001,United Kingdom,overview,2020-12-23,403973
K02000001,United Kingdom,overview,2020-12-22,347583
K02000001,United Kingdom,overview,2020-12-21,335252
K02000001,United Kingdom,overview,2020-12-20,337258
K02000001,United Kingdom,overview,2020-12-19,344498
K02000001,United Kingdom,overview,2020-12-18,286039
K02000001,United Kingdom,overview,2020-12-17,272784
K02000001,United Kingdom,overview,2020-12-16,255332
K02000001,United Kingdom,overview,2020-12-15,194396
K02000001,United Kingdom,overview,2020-12-14,191349
K02000001,United Kingdom,overview,2020-12-13,230518
K02000001,United Kingdom,overview,2020-12-12,264712
K02000001,United Kingdom,overview,2020-12-11,285377
K02000001,United Kingdom,overview,2020-12-10,288925
K02000001,United Kingdom,overview,2020-12-09,259307
K02000001,United Kingdom,overview,2020-12-08,193825
K02000001,United Kingdom,overview,2020-12-07,136057
K02000001,United Kingdom,overview,2020-12-06,194677
K02000001,United Kingdom,overview,2020-12-05,257878
K02000001,United Kingdom,overview,2020-12-04,274488
K02000001,United Kingdom,overview,2020-12-03,277949
K02000001,United Kingdom,overview,2020-12-02,236521
K02000001,United Kingdom,overview,2020-12-01,204744
K02000001,United Kingdom,overview,2020-11-30,130663
K02000001,United Kingdom,overview,2020-11-29,133585
K02000001,United Kingdom,overview,2020-11-28,210867
K02000001,United Kingdom,overview,2020-11-27,221367
K02000001,United Kingdom,overview,2020-11-26,266666
K02000001,United Kingdom,overview,2020-11-25,235738
K02000001,United Kingdom,overview,2020-11-24,193647
K02000001,United Kingdom,overview,2020-11-23,116831
K02000001,United Kingdom,overview,2020-11-22,171975
K02000001,United Kingdom,overview,2020-11-21,250462
K02000001,United Kingdom,overview,2020-11-20,274623
K02000001,United Kingdom,overview,2020-11-19,268024
K02000001,United Kingdom,overview,2020-11-18,244412
K02000001,United Kingdom,overview,2020-11-17,184211
K02000001,United Kingdom,overview,2020-11-16,148910
K02000001,United Kingdom,overview,2020-11-15,201208
K02000001,United Kingdom,overview,2020-11-14,254629
K02000001,United Kingdom,overview,2020-11-13,278448
K02000001,United Kingdom,overview,2020-11-12,273346
K02000001,United Kingdom,overview,2020-11-11,263690
K02000001,United Kingdom,overview,2020-11-10,197430
K02000001,United Kingdom,overview,2020-11-09,160066
K02000001,United Kingdom,overview,2020-11-08,199582
K02000001,United Kingdom,overview,2020-11-07,237923
K02000001,United Kingdom,overview,2020-11-06,258509
K02000001,United Kingdom,overview,2020-11-05,244080
K02000001,United Kingdom,overview,2020-11-04,195950
K02000001,United Kingdom,overview,2020-11-03,177027
K02000001,United Kingdom,overview,2020-11-02,121737
K02000001,United Kingdom,overview,2020-11-01,185050
K02000001,United Kingdom,overview,2020-10-31,202171
K02000001,United Kingdom,overview,2020-10-30,200623
K02000001,United Kingdom,overview,2020-10-29,243222
K02000001,United Kingdom,overview,2020-10-28,203880
K02000001,United Kingdom,overview,2020-10-27,176922
K02000001,United Kingdom,overview,2020-10-26,158147
K02000001,United Kingdom,overview,2020-10-25,230863
K02000001,United Kingdom,overview,2020-10-24,210368
K02000001,United Kingdom,overview,2020-10-23,229950
K02000001,United Kingdom,overview,2020-10-22,231440
K02000001,United Kingdom,overview,2020-10-21,198286
K02000001,United Kingdom,overview,2020-10-20,180880
K02000001,United Kingdom,overview,2020-10-19,169118
K02000001,United Kingdom,overview,2020-10-18,223529
K02000001,United Kingdom,overview,2020-10-17,207980
K02000001,United Kingdom,overview,2020-10-16,214369
K02000001,United Kingdom,overview,2020-10-15,199272
K02000001,United Kingdom,overview,2020-10-14,193713
K02000001,United Kingdom,overview,2020-10-13,179296
K02000001,United Kingdom,overview,2020-10-12,142204
K02000001,United Kingdom,overview,2020-10-11,184411
K02000001,United Kingdom,overview,2020-10-10,188947
K02000001,United Kingdom,overview,2020-10-09,202840
K02000001,United Kingdom,overview,2020-10-08,198144
K02000001,United Kingdom,overview,2020-10-07,160785
K02000001,United Kingdom,overview,2020-10-06,163589
K02000001,United Kingdom,overview,2020-10-05,174251
K02000001,United Kingdom,overview,2020-10-04,169488
K02000001,United Kingdom,overview,2020-10-03,189095
K02000001,United Kingdom,overview,2020-10-02,177562
K02000001,United Kingdom,overview,2020-10-01,168669
K02000001,United Kingdom,overview,2020-09-30,156459
K02000001,United Kingdom,overview,2020-09-29,141378
K02000001,United Kingdom,overview,2020-09-28,140442
K02000001,United Kingdom,overview,2020-09-27,170285
K02000001,United Kingdom,overview,2020-09-26,167881
K02000001,United Kingdom,overview,2020-09-25,185140
K02000001,United Kingdom,overview,2020-09-24,172120
K02000001,United Kingdom,overview,2020-09-23,153771
K02000001,United Kingdom,overview,2020-09-22,146401
K02000001,United Kingdom,overview,2020-09-21,130512
K02000001,United Kingdom,overview,2020-09-20,164325
K02000001,United Kingdom,overview,2020-09-19,170892
K02000001,United Kingdom,overview,2020-09-18,173342
K02000001,United Kingdom,overview,2020-09-17,157252
K02000001,United Kingdom,overview,2020-09-16,156754
K02000001,United Kingdom,overview,2020-09-15,150505
K02000001,United Kingdom,overview,2020-09-14,152681
K02000001,United Kingdom,overview,2020-09-13,162995
K02000001,United Kingdom,overview,2020-09-12,158650
K02000001,United Kingdom,overview,2020-09-11,172968
K02000001,United Kingdom,overview,2020-09-10,158713
K02000001,United Kingdom,overview,2020-09-09,133274
K02000001,United Kingdom,overview,2020-09-08,123163
K02000001,United Kingdom,overview,2020-09-07,130364
K02000001,United Kingdom,overview,2020-09-06,126832
K02000001,United Kingdom,overview,2020-09-05,111608
K02000001,United Kingdom,overview,2020-09-04,126743
K02000001,United Kingdom,overview,2020-09-03,122445
K02000001,United Kingdom,overview,2020-09-02,119575
