areaCode,areaName,areaType,date,capacityPillarFour
K02000001,United Kingdom,overview,2021-02-26,1100
K02000001,United Kingdom,overview,2021-02-25,1100
K02000001,United Kingdom,overview,2021-02-24,4978
K02000001,United Kingdom,overview,2021-02-23,3796
K02000001,United Kingdom,overview,2021-02-22,6177
K02000001,United Kingdom,overview,2021-02-21,7457
K02000001,United Kingdom,overview,2021-02-20,9259
K02000001,United Kingdom,overview,2021-02-19,10688
K02000001,United Kingdom,overview,2021-02-18,12989
K02000001,United Kingdom,overview,2021-02-17,12306
K02000001,United Kingdom,overview,2021-02-16,9839
K02000001,United Kingdom,overview,2021-02-15,13450
K02000001,United Kingdom,overview,2021-02-14,15558
K02000001,United Kingdom,overview,2021-02-13,16756
K02000001,United Kingdom,overview,2021-02-12,17737
K02000001,United Kingdom,overview,2021-02-11,13716
K02000001,United Kingdom,overview,2021-02-10,10819
K02000001,United Kingdom,overview,2021-02-09,17984
K02000001,United Kingdom,overview,2021-02-08,1100
K02000001,United Kingdom,overview,2021-02-07,1100
K02000001,United Kingdom,overview,2021-02-06,1100
K02000001,United Kingdom,overview,2021-02-05,1100
K02000001,United Kingdom,overview,2021-02-04,1100
K02000001,United Kingdom,overview,2021-02-03,1100
K02000001,United Kingdom,overview,2021-02-02,1100
K02000001,United Kingdom,overview,2021-02-01,1100
K02000001,United Kingdom,overview,2021-01-31,1100
K02000001,United Kingdom,overview,2021-01-30,1100
K02000001,United Kingdom,overview,2021-01-29,1100
K02000001,United Kingdom,overview,2021-01-28,1100
K02000001,United Kingdom,overview,2021-01-27,1100
K02000001,United Kingdom,overview,2021-01-26,1100
K02000001,United Kingdom,overview,2021-01-25,1100
K02000001,United Kingdom,overview,2021-01-24,3527
K02000001,United Kingdom,overview,2021-01-23,3568
K02000001,United Kingdom,overview,2021-01-22,4049
K02000001,United Kingdom,overview,2021-01-21,4859
K02000001,United Kingdom,overview,2021-01-20,5563
K02000001,United Kingdom,overview,2021-01-19,4359
K02000001,United Kingdom,overview,2021-01-18,6632
K02000001,United Kingdom,overview,2021-01-17,7745
K02000001,United Kingdom,overview,2021-01-16,7494
K02000001,United Kingdom,overview,2021-01-15,8691
K02000001,United Kingdom,overview,2021-01-14,12031
K02000001,United Kingdom,overview,2021-01-13,17375
K02000001,United Kingdom,overview,2021-01-12,1100
K02000001,United Kingdom,overview,2021-01-11,1100
K02000001,United Kingdom,overview,2021-01-10,1100
K02000001,United Kingdom,overview,2021-01-09,1100
K02000001,United Kingdom,overview,2021-01-08,1100
K02000001,United Kingdom,overview,2021-01-07,1100
K02000001,United Kingdom,overview,2021-01-06,1100
K02000001,United Kingdom,overview,2021-01-05,1100
K02000001,United Kingdom,overview,2021-01-04,1100
K02000001,United Kingdom,overview,2021-01-03,1100
K02000001,United Kingdom,overview,2021-01-02,1100
K02000001,United Kingdom,overview,2021-01-01,1100
K02000001,United Kingdom,overview,2020-12-31,1100
K02000001,United Kingdom,overview,2020-12-30,1100
K02000001,United Kingdom,overview,2020-12-29,1100
K02000001,United Kingdom,overview,2020-12-28,1100
K02000001,United Kingdom,overview,2020-12-27,1100
K02000001,United Kingdom,overview,2020-12-26,1100
K02000001,United Kingdom,overview,2020-12-25,1100
K02000001,United Kingdom,overview,2020-12-24,1100
K02000001,United Kingdom,overview,2020-12-23,1100
K02000001,United Kingdom,overview,2020-12-22,1100
K02000001,United Kingdom,overview,2020-12-21,1100
K02000001,United Kingdom,overview,2020-12-20,1100
K02000001,United Kingdom,overview,2020-12-19,1100
K02000001,United Kingdom,overview,2020-12-18,1100
K02000001,United Kingdom,overview,2020-12-17,1100
K02000001,United Kingdom,overview,2020-12-16,1100
K02000001,United Kingdom,overview,2020-12-15,1100
K02000001,United Kingdom,overview,2020-12-14,1100
K02000001,United Kingdom,overview,2020-12-13,1100
K02000001,United Kingdom,overview,2020-12-12,1100
K02000001,United Kingdom,overview,2020-12-11,1100
K02000001,United Kingdom,overview,2020-12-10,1100
K02000001,United Kingdom,overview,2020-12-09,1100
K02000001,United Kingdom,overview,2020-12-08,1100
K02000001,United Kingdom,overview,2020-12-07,1100
K02000001,United Kingdom,overview,2020-12-06,1100
K02000001,United Kingdom,overview,2020-12-05,1373
K02000001,United Kingdom,overview,2020-12-04,4543
K02000001,United Kingdom,overview,2020-12-03,5240
K02000001,United Kingdom,overview,2020-12-02,5262
K02000001,United Kingdom,overview,2020-12-01,5923
K02000001,United Kingdom,overview,2020-11-30,7080
K02000001,United Kingdom,overview,2020-11-29,1100
K02000001,United Kingdom,overview,2020-11-28,1100
K02000001,United Kingdom,overview,2020-11-27,1100
K02000001,United Kingdom,overview,2020-11-26,1100
K02000001,United Kingdom,overview,2020-11-25,1100
K02000001,United Kingdom,overview,2020-11-24,1100
K02000001,United Kingdom,overview,2020-11-23,1100
K02000001,United Kingdom,overview,2020-11-22,1100
K02000001,United Kingdom,overview,2020-11-21,1100
K02000001,United Kingdom,overview,2020-11-20,1100
K02000001,United Kingdom,overview,2020-11-19,1100
K02000001,United Kingdom,overview,2020-11-18,1100
K02000001,United Kingdom,overview,2020-11-17,1100
K02000001,United Kingdom,overview,2020-11-16,1100
K02000001,United Kingdom,overview,2020-11-15,1100
K02000001,United Kingdom,overview,2020-11-14,1100
K02000001,United Kingdom,overview,2020-11-13,1100
K02000001,United Kingdom,overview,2020-11-12,1100
K02000001,United Kingdom,overview,2020-11-11,1100
K02000001,United Kingdom,overview,2020-11-10,1100
K02000001,United Kingdom,overview,2020-11-09,1100
K02000001,United Kingdom,overview,2020-11-08,1100
K02000001,United Kingdom,overview,2020-11-07,1100
K02000001,United Kingdom,overview,2020-11-06,1100
K02000001,United Kingdom,overview,2020-11-05,1944
K02000001,United Kingdom,overview,2020-11-04,5877
K02000001,United Kingdom,overview,2020-11-03,3599
K02000001,United Kingdom,overview,2020-11-02,8782
K02000001,United Kingdom,overview,2020-11-01,11863
K02000001,United Kingdom,overview,2020-10-31,7093
K02000001,United Kingdom,overview,2020-10-30,6949
K02000001,United Kingdom,overview,2020-10-29,13082
K02000001,United Kingdom,overview,2020-10-28,9543
K02000001,United Kingdom,overview,2020-10-27,7167
K02000001,United Kingdom,overview,2020-10-26,19511
K02000001,United Kingdom,overview,2020-10-25,14932
K02000001,United Kingdom,overview,2020-10-24,14193
K02000001,United Kingdom,overview,2020-10-23,13580
K02000001,United Kingdom,overview,2020-10-22,14999
K02000001,United Kingdom,overview,2020-10-21,14041
K02000001,United Kingdom,overview,2020-10-20,10059
K02000001,United Kingdom,overview,2020-10-19,4001
K02000001,United Kingdom,overview,2020-10-18,1100
K02000001,United Kingdom,overview,2020-10-17,1100
K02000001,United Kingdom,overview,2020-10-16,1100
K02000001,United Kingdom,overview,2020-10-15,1100
K02000001,United Kingdom,overview,2020-10-14,1100
K02000001,United Kingdom,overview,2020-10-13,1100
K02000001,United Kingdom,overview,2020-10-12,1100
K02000001,United Kingdom,overview,2020-10-11,1100
K02000001,United Kingdom,overview,2020-10-10,1100
K02000001,United Kingdom,overview,2020-10-09,1461
K02000001,United Kingdom,overview,2020-10-08,1545
K02000001,United Kingdom,overview,2020-10-07,5571
K02000001,United Kingdom,overview,2020-10-06,4203
K02000001,United Kingdom,overview,2020-10-05,12315
K02000001,United Kingdom,overview,2020-10-04,4703
K02000001,United Kingdom,overview,2020-10-03,10171
K02000001,United Kingdom,overview,2020-10-02,9831
K02000001,United Kingdom,overview,2020-10-01,14689
K02000001,United Kingdom,overview,2020-09-30,13532
K02000001,United Kingdom,overview,2020-09-29,9013
K02000001,United Kingdom,overview,2020-09-28,17194
K02000001,United Kingdom,overview,2020-09-27,22684
K02000001,United Kingdom,overview,2020-09-26,12079
K02000001,United Kingdom,overview,2020-09-25,14766
K02000001,United Kingdom,overview,2020-09-24,11790
K02000001,United Kingdom,overview,2020-09-23,14363
K02000001,United Kingdom,overview,2020-09-22,9345
K02000001,United Kingdom,overview,2020-09-21,7532
K02000001,United Kingdom,overview,2020-09-20,1100
K02000001,United Kingdom,overview,2020-09-19,1100
